 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.00228248 / -0.113967 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 | 0.0466391 / -0.046791 |
 | Electron trigger eff. | 0.00231741 / -0.00231741 | 0.00229207 / -0.00229208 | 0.00230485 / -0.00230487 | 0.00247773 / -0.00247773 | 0.00205489 / -0.00205491 | 0.00239126 / -0.00239129 | 0.00247763 / -0.0024776 | 0.00290273 / -0.00290273 | 0.00313031 / -0.00313033 | 0.00271799 / -0.00271801 |
 | Electron reconstruction eff. | 0.00116137 / -0.00116137 | 0.00127724 / -0.00127725 | 0.00128674 / -0.00128675 | 0.00137681 / -0.00137681 | 0.00126267 / -0.00126268 | 0.00146701 / -0.00146693 | 0.00134521 / -0.00134524 | 0.00135662 / -0.00135662 | 0.00141234 / -0.00141228 | 0.00141702 / -0.00141704 |
 | Electron identification eff. | 0.00948652 / -0.00948714 | 0.0093861 / -0.00938671 | 0.00938421 / -0.00938483 | 0.0108906 / -0.0108914 | 0.0086675 / -0.00866803 | 0.0110672 / -0.011068 | 0.0104661 / -0.0104669 | 0.00957665 / -0.00957728 | 0.0106735 / -0.0106743 | 0.0112307 / -0.0112315 |
 | Electron isolation eff. | 0.00117043 / -0.00117043 | 0.00108434 / -0.00108435 | 0.00111447 / -0.00111442 | 0.00129961 / -0.00129961 | 0.00110883 / -0.00110885 | 0.00127169 / -0.00127172 | 0.00128984 / -0.00128987 | 0.0012238 / -0.0012238 | 0.00137212 / -0.00137213 | 0.00133713 / -0.00133715 |
 | Muon id. (stat) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon id. low pt (stat) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon id. (syst) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon id. low pt (syst) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon isolation eff. (stat) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon isolation eff. (syst) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon TTVA (stat) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon TTVA (syst) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon trigger eff. (stat) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | Muon trigger eff. (syst) | 3.59592e-16 / 3.59592e-16 | 1.48799e-16 / 1.48799e-16 | 0 / 0 | 0 / 0 | 5.92519e-16 / 5.92519e-16 | 0 / 0 | -1.14654e-16 / -1.14654e-16 | -1.26215e-16 / -1.26215e-16 | 2.87399e-16 / 2.87399e-16 | 0 / 0 |
 | SF(photon ID) | 0.0063797 / -0.00637996 | 0.00836661 / -0.00836706 | 0.00731423 / -0.00731457 | 0.00793325 / -0.00793365 | 0.00778104 / -0.00778143 | 0.00757891 / -0.00757928 | 0.00714301 / -0.00714334 | 0.00804663 / -0.00804705 | 0.00854998 / -0.00855046 | 0.00777567 / -0.00777606 |
 | SF(photon iso.) | -0.000551564 / -0.000551564 | -0.0011496 / -0.00114961 | -0.00092974 / -0.000929741 | -0.00141909 / -0.00141909 | -0.00100405 / -0.00100405 | -0.00105387 / -0.00105387 | -0.00109564 / -0.00109564 | -0.00067588 / -0.000675881 | -0.00159809 / -0.00159809 | -0.00139375 / -0.00139375 |
 | Pile-up | -0.00674493 / -4.74309e-06 | -0.0012003 / 0.00297616 | -0.00516659 / 0.00433674 | -0.000471305 / 0.00195397 | -0.00544964 / 0.00184783 | -0.00161111 / 0.00161659 | -0.00715868 / 0.00381126 | 0.00618178 / 0.0034381 | 0.00590547 / -0.0106124 | -0.00463167 / 0.00963425 |
 | JVT | 0.00722744 / -0.00773662 | 0.00766286 / -0.00817328 | 0.00584845 / -0.00743594 | 0.00695798 / -0.00734448 | 0.0102632 / -0.0102957 | 0.00712275 / -0.00770517 | 0.00700506 / -0.00731571 | 0.00773979 / -0.00806927 | 0.00882318 / -0.00857136 | 0.00521045 / -0.00543236 |
 | EGamFake | -1.16022e-05 / 1.16021e-05 | 0.0369741 / -0.0370287 | 0.00035645 / -0.000356455 | 0.0412162 / -0.041284 | 0.0155952 / -0.0156049 | 0.028877 / -0.0289102 | 2.31659e-05 / -2.31659e-05 | 0.00093958 / -0.000939616 | 0.0776322 / -0.0778733 | 0.0077813 / -0.00778371 |
 | JGamFake | 0.000224309 / -0.000224343 | 0.0836538 / -0.0887092 | 0.00104994 / -0.00105069 | 0.0710469 / -0.07466 | 0.0576059 / -0.0599584 | 0.0483636 / -0.0500109 | 0.000198424 / -0.00019845 | 0.133483 / -0.14685 | 0.0258767 / -0.026341 | 0.00194285 / -0.00194542 |
 | Scale #mu_{R},#mu_{F} | 0.0346146 / -0.0352069 | 0 / 0 | 0.000517499 / -0.0109567 | 0 / 0 | 7.40649e-16 / 2.9626e-16 | 0 / 0 | 0.0368218 / -0.0315545 | 0.391484 / -0.162422 | 0.0757937 / -0.0628335 | 0.0331216 / -0.0268266 |
 | PDF no. 1 | -0.00505111 / 0.00505096 | 0.00236253 / -0.00236257 | 0.00236253 / -0.00236257 | 0 / 0 | -0.029134 / 0.0291291 | 0 / 0 | 0 / 0 | 0.441881 / -0.427159 | -0.0174739 / 0.0174721 | 0 / 0 |
