NUISANCE_PARAMETERS
SigXsecOverSM  0.997723 +0.00227728 -0.113707
EG_Resolution  0.000798177 +0.983669 -0.983669
EG_Scale  0.00209009 +0.970747 -0.970747
EGamFake  9.46336e-05 +0.96156 -0.96156
JET+EtaIntercalibration_NonClosure_posEta  0.000137564 +0.993219 -0.993219
JET_BJES_Response  0.000198299 +0.992412 -0.992412
JET_EffectiveNP_Detector1  -1.79866e-05 +0.99334 -0.99334
JET_EffectiveNP_Mixed1  -1.25414e-05 +0.993226 -0.993226
JET_EffectiveNP_Mixed2  3.23973e-05 +0.993336 -0.993336
JET_EffectiveNP_Modelling1  0.00114191 +0.961469 -0.961469
JET_EffectiveNP_Modelling2  -8.20183e-05 +0.993293 -0.993293
JET_EffectiveNP_Modelling3  1.02397e-05 +0.993346 -0.993346
JET_EffectiveNP_Statiscal3  1.30831e-05 +0.993343 -0.993343
JET_EffectiveNP_Statistical1  -1.62729e-06 +0.993347 -0.993347
JET_EffectiveNP_Statistical2  -8.4146e-05 +0.993293 -0.993293
JET_EtaIntercalibration_Modeling1  -0.00152046 +0.972331 -0.972331
JET_EtaIntercalibration_NonClosure_negEta  -1.74198e-05 +0.993347 -0.993347
JET_EtaIntercalibration_TotalStat  0.000282077 +0.990117 -0.990117
JET_Flavor_Composition  -0.000293411 +0.855491 -0.855491
JET_Flavor_Response  0.000339973 +0.962304 -0.962304
JET_Pileup_OffsetMu  7.49e-05 +0.993305 -0.993305
JET_Pileup_OffsetNPV  -0.000333609 +0.98326 -0.98326
JET_Pileup_PtTerm  -0.000609474 +0.988077 -0.988077
JET_Pileup_RhoTopology  -0.000948545 +0.932099 -0.932099
JET_RelativeNonClosure_AFII  -0.00014448 +0.991789 -0.991789
JGamFake  -0.00145186 +0.403613 -0.403613
JVT  -0.000533817 +0.991542 -0.991542
LepSF_EL_ID  -0.000180636 +0.993207 -0.993207
Lumi  0.0062109 +0.934434 -0.934434
MET_SoftTrk_ResoPara  0.00177197 +0.95502 -0.95502
MET_SoftTrk_ResoPerp  0.000709843 +0.990503 -0.990503
MET_SoftTrk_Scale  -0.00086331 +0.985259 -0.985259
PDF1  -2.53929e-05 +0.994356 -0.994356
PDF10  -2.53934e-05 +0.994356 -0.994356
PDF11  -2.5393e-05 +0.994355 -0.994355
PDF12  -2.53923e-05 +0.994356 -0.994356
PDF13  -2.53923e-05 +0.994355 -0.994355
PDF14  -2.53914e-05 +0.994355 -0.994355
PDF15  -2.53876e-05 +0.994355 -0.994355
PDF16  -2.53945e-05 +0.994356 -0.994356
PDF17  -2.53962e-05 +0.994356 -0.994356
PDF18  -2.53834e-05 +0.994355 -0.994355
PDF19  -2.53863e-05 +0.994355 -0.994355
PDF2  -2.5822e-05 +0.994355 -0.994355
PDF20  -2.53911e-05 +0.994356 -0.994356
PDF21  -2.53852e-05 +0.994355 -0.994355
PDF22  -2.53954e-05 +0.994356 -0.994356
PDF23  -2.53922e-05 +0.994355 -0.994355
PDF24  -2.5384e-05 +0.994355 -0.994355
PDF25  -2.53917e-05 +0.994356 -0.994356
PDF26  -2.53907e-05 +0.994355 -0.994355
