 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | -nan / -nan | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 |
 | Electron trigger eff. | -nan / -nan | 0.0023211 / -0.00232108 | 0.00211868 / -0.00211868 | 0.00166927 / -0.00166929 | 0.00215493 / -0.00215492 | 0.00289947 / -0.00289953 | 0.00194363 / -0.00194362 | 0.00338198 / -0.00338201 | 0.00353365 / -0.00353365 | 0.0023181 / -0.00231812 |
 | Electron reconstruction eff. | -nan / -nan | 0.00121301 / -0.00121298 | 0.00115251 / -0.00115251 | 0.000996578 / -0.000996602 | 0.00111498 / -0.00111498 | 0.00150984 / -0.0015098 | 0.00113919 / -0.00113917 | 0.0012535 / -0.00125353 | 0.00143471 / -0.00143471 | 0.00121935 / -0.00121936 |
 | Electron identification eff. | -nan / -nan | 0.00920124 / -0.00920182 | 0.00907382 / -0.0090744 | 0.0049668 / -0.004967 | 0.00893448 / -0.00893504 | 0.0119174 / -0.0119184 | 0.00948803 / -0.00948866 | 0.0116067 / -0.0116077 | 0.0111162 / -0.0111171 | 0.00797141 / -0.00797188 |
 | Electron isolation eff. | -nan / -nan | 0.00100583 / -0.0010058 | 0.000991263 / -0.000991265 | 0.000705725 / -0.000705749 | 0.000931805 / -0.000931799 | 0.00121496 / -0.00121491 | 0.00108656 / -0.00108655 | 0.00166013 / -0.00166016 | 0.00133794 / -0.00133795 | 0.00102623 / -0.00102624 |
 | Muon id. (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon isolation eff. (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
