 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | -nan / -nan | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 | 0.0484957 / -0.0485669 |
 | Electron trigger eff. | -nan / -nan | 0.00220437 / -0.00220442 | 0.00224196 / -0.00224201 | 0.00269884 / -0.00269889 | 0.00219381 / -0.00219381 | 0.00222918 / -0.00222915 | 0.00234563 / -0.00234565 | 0.00347802 / -0.003478 | 0.00290081 / -0.0029009 | 0.00285372 / -0.00285368 |
 | Electron reconstruction eff. | -nan / -nan | 0.00126523 / -0.00126527 | 0.00127628 / -0.00127633 | 0.00139888 / -0.00139885 | 0.00139309 / -0.0013931 | 0.00135288 / -0.00135285 | 0.00139357 / -0.00139359 | 0.00157612 / -0.0015761 | 0.00147503 / -0.001475 | 0.00154497 / -0.00154501 |
 | Electron identification eff. | -nan / -nan | 0.00953855 / -0.00953915 | 0.00950465 / -0.00950527 | 0.0108198 / -0.0108206 | 0.0115685 / -0.0115694 | 0.0101669 / -0.0101676 | 0.01054 / -0.0105408 | 0.0112984 / -0.0112992 | 0.0111323 / -0.0111332 | 0.0122089 / -0.0122099 |
 | Electron isolation eff. | -nan / -nan | 0.00110319 / -0.00110314 | 0.00110761 / -0.00110759 | 0.00140509 / -0.00140506 | 0.00130586 / -0.00130587 | 0.00126074 / -0.00126071 | 0.00135883 / -0.00135885 | 0.00148131 / -0.0014814 | 0.00138861 / -0.00138869 | 0.00151429 / -0.00151426 |
 | Muon id. (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon isolation eff. (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon isolation eff. (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon TTVA (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon TTVA (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon trigger eff. (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon trigger eff. (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | SF(photon ID) | -nan / -nan | 0.00836849 / -0.00836895 | 0.00717003 / -0.00717036 | 0.0081354 / -0.00813584 | 0.0076406 / -0.00764098 | 0.00757216 / -0.00757253 | 0.00730892 / -0.00730927 | 0.00809394 / -0.00809437 | 0.00816304 / -0.00816349 | 0.00807279 / -0.00807321 |
 | SF(photon iso.) | -nan / -nan | -0.0011242 / -0.0011242 | -0.000829961 / -0.000829961 | -0.00106084 / -0.00106084 | -0.0014745 / -0.0014745 | -0.00094278 / -0.00094278 | -0.000890117 / -0.000890117 | -0.000587905 / -0.000587905 | -0.001296 / -0.001296 | -0.00208553 / -0.00208553 |
 | Pile-up | -nan / -nan | 0.00111555 / -0.00181892 | -0.00408802 / 0.00322099 | 0.015344 / -0.00884542 | -0.016636 / 0.0101771 | -0.0134138 / 0.0061309 | 0.00821519 / -0.012924 | 0.0042773 / -0.00108776 | -0.00824746 / 0.00215308 | -0.0238403 / 0.0267495 |
 | JVT | -nan / -nan | 0.00899081 / -0.010377 | 0.00959295 / -0.0099343 | 0.0101011 / -0.0102859 | 0.00995818 / -0.0103073 | 0.00738031 / -0.00843096 | 0.0102504 / -0.0105528 | 0.00954556 / -0.00982795 | 0.0078717 / -0.00936425 | 0.0088189 / -0.00925811 |
 | EGamFake | -nan / -nan | 0.0318006 / -0.0318609 | 0.000507876 / -0.000507892 | 0.0407234 / -0.0408224 | 0.0135827 / -0.0135937 | 0.0236685 / -0.0237018 | 0 / 0 | 0.00123224 / -0.00123233 | 0.0656252 / -0.0658831 | 0.000971595 / -0.000971652 |
 | JGamFake | -nan / -nan | 0.0852778 / -0.0906967 | 0.000572103 / -0.000572332 | 0.0621631 / -0.0645189 | 0.0358539 / -0.0367776 | 0.0467322 / -0.0483138 | 0 / 0 | 0.114604 / -0.124614 | 0.0385325 / -0.0396014 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} | -nan / -nan | 0 / 0 | 0.00115449 / -0.00807866 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0307979 / -0.0272032 | 0.822262 / -0.319661 | 0.0806033 / -0.0694526 | 0.0285644 / -0.0242146 |
 | PDF no. 1 | -nan / -nan | 0.00239152 / -0.00239148 | 0.00239152 / -0.00239148 | 0 / 0 | -0.0251406 / 0.0251447 | 0 / 0 | 0 / 0 | 0.909229 / -0.595154 | 0.000686175 / -0.000686172 | 0 / 0 |
 | PDF no. 2 | -nan / -nan | -0.00999727 / 0.00999792 | -0.00999727 / 0.00999792 | 0 / 0 | -0.0251406 / 0.0251447 | 0 / 0 | 0 / 0 | 0.909229 / -0.595154 | 0.000686175 / -0.000686172 | 0 / 0 |
 | PDF no. 3 | -nan / -nan | -0.00117919 / 0.0011792 | -0.00117919 / 0.0011792 | 0 / 0 | -0.0251406 / 0.0251447 | 0 / 0 | 0 / 0 | 0.909229 / -0.595154 | 0.000686175 / -0.000686172 | 0 / 0 |
