 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.113504 / -0.105765 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 |
 | Electron trigger eff. | 0.00231741 / -0.00231741 | 0.00229207 / -0.00229208 | 0.00230485 / -0.00230487 | 0.00247773 / -0.00247773 | 0.00205489 / -0.00205491 | 0.00239126 / -0.00239129 | 0.00247763 / -0.0024776 | 0.00290273 / -0.00290273 | 0.00313031 / -0.00313033 | 0.00271799 / -0.00271801 |
 | Electron reconstruction eff. | 0.00116137 / -0.00116137 | 0.00127724 / -0.00127725 | 0.00128674 / -0.00128675 | 0.00137681 / -0.00137681 | 0.00126267 / -0.00126268 | 0.00146701 / -0.00146693 | 0.00134521 / -0.00134524 | 0.00135662 / -0.00135662 | 0.00141234 / -0.00141228 | 0.00141702 / -0.00141704 |
 | Electron identification eff. | 0.00948609 / -0.00948671 | 0.00938567 / -0.00938629 | 0.00938379 / -0.0093844 | 0.0108901 / -0.0108909 | 0.00866711 / -0.00866764 | 0.0110667 / -0.0110675 | 0.0104656 / -0.0104664 | 0.00957622 / -0.00957685 | 0.010673 / -0.0106738 | 0.0112302 / -0.011231 |
 | Electron isolation eff. | 0.00117043 / -0.00117043 | 0.00108434 / -0.00108435 | 0.00111447 / -0.00111442 | 0.00129961 / -0.00129961 | 0.00110883 / -0.00110885 | 0.00127169 / -0.00127172 | 0.00128984 / -0.00128987 | 0.0012238 / -0.0012238 | 0.00137212 / -0.00137213 | 0.00133713 / -0.00133715 |
 | Muon id. (stat) | 2.39295e-16 / 2.39295e-16 | 5.9519e-16 / 5.9519e-16 | -2.40444e-16 / -2.40444e-16 | 0 / 0 | 2.96313e-16 / 2.96313e-16 | 4.15785e-16 / 4.15785e-16 | -3.43794e-16 / -3.43794e-16 | 0 / 0 | 4.3138e-16 / 4.3138e-16 | 0 / 0 |
 | Muon id. low pt (stat) | 2.39295e-16 / 2.39295e-16 | 5.9519e-16 / 5.9519e-16 | -2.40444e-16 / -2.40444e-16 | 0 / 0 | 2.96313e-16 / 2.96313e-16 | 4.15785e-16 / 4.15785e-16 | -3.43794e-16 / -3.43794e-16 | 0 / 0 | 4.3138e-16 / 4.3138e-16 | 0 / 0 |
 | Muon id. (syst) | 2.39295e-16 / 2.39295e-16 | 5.9519e-16 / 5.9519e-16 | -2.40444e-16 / -2.40444e-16 | 0 / 0 | 2.96313e-16 / 2.96313e-16 | 4.15785e-16 / 4.15785e-16 | -3.43794e-16 / -3.43794e-16 | 0 / 0 | 4.3138e-16 / 4.3138e-16 | 0 / 0 |
 | Muon id. low pt (syst) | 2.39295e-16 / 2.39295e-16 | 5.9519e-16 / 5.9519e-16 | -2.40444e-16 / -2.40444e-16 | 0 / 0 | 2.96313e-16 / 2.96313e-16 | 4.15785e-16 / 4.15785e-16 | -3.43794e-16 / -3.43794e-16 | 0 / 0 | 4.3138e-16 / 4.3138e-16 | 0 / 0 |
