 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10655.7 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 |
 | Electron trigger eff. | 0.00155105 / -0.00155106 | 0.0015896 / -0.00158962 | 0.00161336 / -0.00161335 | 0.00181195 / -0.00181197 | 0.00157101 / -0.001571 | 0.00183087 / -0.00183095 | 0.0014811 / -0.00148109 | 0.00218441 / -0.00218444 | 0.00234625 / -0.00234625 | 0.00180689 / -0.00180688 |
 | Electron reconstruction eff. | 0.00139172 / -0.00139172 | 0.00128264 / -0.00128266 | 0.00127719 / -0.00127718 | 0.00112812 / -0.00112807 | 0.0013638 / -0.00136379 | 0.00127021 / -0.00127019 | 0.00132464 / -0.00132462 | 0.00146188 / -0.00146184 | 0.00150585 / -0.00150585 | 0.00135815 / -0.00135814 |
 | Electron identification eff. | 0.00686458 / -0.00686459 | 0.00712621 / -0.00712623 | 0.00740281 / -0.0074028 | 0.0056325 / -0.00563252 | 0.00677296 / -0.00677295 | 0.00684047 / -0.00684045 | 0.00784391 / -0.0078439 | 0.00990824 / -0.00990827 | 0.00881733 / -0.00881733 | 0.00707734 / -0.00707733 |
 | Electron isolation eff. | 0.00137746 / -0.00137747 | 0.000856141 / -0.000856159 | 0.000897358 / -0.000897349 | 0.000805117 / -0.000805138 | 0.000844176 / -0.000844164 | 0.00100906 / -0.00100904 | 0.000922816 / -0.000922801 | 0.00119337 / -0.00119333 | 0.00141943 / -0.00141942 | 0.000962153 / -0.000962144 |
 | Muon id. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. low pt (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. low pt (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon isolation eff. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon isolation eff. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon TTVA (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon TTVA (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon trigger eff. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon trigger eff. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | SF(photon ID) | 0.0064564 / -0.0064516 | 0.00746761 / -0.0074612 | 0.00629676 / -0.0062922 | 0.00697708 / -0.00697148 | 0.00667192 / -0.00666681 | 0.00710121 / -0.00709541 | 0.00646957 / -0.00646475 | 0.00628075 / -0.00627621 | 0.00724971 / -0.00724367 | 0.00656921 / -0.00656425 |
 | SF(photon iso.) | 3.76205e-05 / 3.76205e-05 | -0.000540672 / -0.000540672 | 3.95992e-05 / 3.95992e-05 | -0.00046471 / -0.00046471 | 0.000366977 / 0.000366977 | -0.000876046 / -0.000876046 | 0.000310812 / 0.000310812 | 0.00162361 / 0.00162361 | -0.000440967 / -0.000440967 | 0.000311794 / 0.000311794 |
 | Pile-up | -0.0114332 / 0.011664 | 0.00621476 / -0.0061891 | -0.00553774 / 0.00565545 | 0.0951193 / -0.0903482 | 0.084348 / -0.0785509 | -0.0507539 / 0.0552276 | 0.0493379 / -0.0491644 | -0.0549217 / 0.0585795 | -0.0680445 / 0.0570311 | 0.0159493 / -0.0155472 |
 | JVT | 0.00427152 / -0.0044615 | 0.00498296 / -0.00519282 | 0.00410023 / -0.00479801 | 0.00531104 / -0.00547715 | 0.00558733 / -0.00574202 | 0.00193373 / -0.00299293 | 0.00235773 / -0.00380809 | 0.00670612 / -0.0067124 | 0.00128905 / -0.00209683 | -0.00557526 / 0.00147736 |
