 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10655.7 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 |
 | Electron trigger eff. | 0.0016903 / -0.00169028 | 0.00167085 / -0.00167084 | 0.00172225 / -0.00172224 | 0.00186627 / -0.00186623 | 0.00154326 / -0.00154322 | 0.0018768 / -0.00187677 | 0.00182735 / -0.00182737 | 0.00207366 / -0.0020737 | 0.00212101 / -0.00212107 | 0.00201876 / -0.00201879 |
 | Electron reconstruction eff. | 0.00147611 / -0.00147616 | 0.00135811 / -0.00135809 | 0.00137619 / -0.00137618 | 0.00140012 / -0.00140017 | 0.00141887 / -0.0014189 | 0.00131729 / -0.00131726 | 0.001432 / -0.00143201 | 0.00133349 / -0.00133352 | 0.00151575 / -0.00151574 | 0.00147914 / -0.00147917 |
 | Electron identification eff. | 0.00751237 / -0.00751236 | 0.00785042 / -0.00785041 | 0.00815819 / -0.00815818 | 0.0101015 / -0.0101015 | 0.00806739 / -0.00806742 | 0.00872771 / -0.0087278 | 0.00952538 / -0.00952539 | 0.00920085 / -0.00920089 | 0.0106283 / -0.0106283 | 0.0104615 / -0.0104616 |
 | Electron isolation eff. | 0.00153686 / -0.00153684 | 0.000977839 / -0.000977826 | 0.00100262 / -0.00100262 | 0.00118035 / -0.00118031 | 0.00101197 / -0.00101199 | 0.00113733 / -0.00113731 | 0.00115401 / -0.00115396 | 0.00105414 / -0.00105418 | 0.00117573 / -0.0011758 | 0.00119641 / -0.00119645 |
 | Muon id. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon isolation eff. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon isolation eff. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon TTVA (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon TTVA (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon trigger eff. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon trigger eff. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | SF(photon ID) | 0.00704403 / -0.00703832 | 0.00941988 / -0.00940969 | 0.00813564 / -0.00812802 | 0.00903795 / -0.00902857 | 0.00877986 / -0.008771 | 0.00869117 / -0.00868249 | 0.00788903 / -0.00788187 | 0.00917184 / -0.00916218 | 0.00925937 / -0.00924952 | 0.00859009 / -0.0085816 |
 | SF(photon iso.) | -0.000474306 / -0.000474306 | -0.00102749 / -0.00102749 | -0.000881639 / -0.000881639 | -0.00121728 / -0.00121728 | -0.000349769 / -0.000349769 | -0.00148626 / -0.00148626 | -0.000998261 / -0.000998261 | -0.000626053 / -0.000626053 | -0.00158049 / -0.00158049 | -0.00129273 / -0.00129273 |
 | Pile-up | -0.0113456 / 0.0119993 | 0.00152155 / -0.00137315 | -0.00159534 / 0.0014896 | 0.0069717 / -0.00740256 | 0.0243252 / -0.0242867 | 0.0040589 / -0.00428169 | -0.00404034 / 0.00417694 | 0.0248182 / -0.0248047 | 0.0131723 / -0.0132237 | -0.00264796 / 0.00290282 |
 | JVT | 0.00657852 / -0.00682116 | 0.00636483 / -0.00682025 | 0.00554917 / -0.00631858 | 0.00555136 / -0.00600629 | 0.00759059 / -0.00778411 | 0.00516118 / -0.00587402 | 0.00596536 / -0.00632282 | 0.00598053 / -0.006365 | 0.0062663 / -0.00656167 | 0.00499297 / -0.00532693 |
