 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | 0.00160226 / -0.00160231 | 0.00160759 / -0.00160763 | 0.00166154 / -0.00166154 | 0.00187189 / -0.00187184 | 0.00149363 / -0.00149363 | 0.00179388 / -0.00179389 | 0.001855 / -0.00185501 | 0.00245354 / -0.0024535 | 0.00203582 / -0.0020359 | 0.00205368 / -0.00205367 |
 | Electron reconstruction eff. | 0.00143918 / -0.00143914 | 0.00133558 / -0.00133562 | 0.00135213 / -0.00135219 | 0.00146437 / -0.00146439 | 0.00143045 / -0.00143045 | 0.00129067 / -0.00129068 | 0.0014396 / -0.00143961 | 0.0017034 / -0.00170343 | 0.00149544 / -0.00149542 | 0.00153161 / -0.00153167 |
 | Electron identification eff. | 0.0074574 / -0.00745745 | 0.00764214 / -0.00764208 | 0.00794196 / -0.00794195 | 0.0118006 / -0.0118006 | 0.00906832 / -0.00906832 | 0.00853115 / -0.00853117 | 0.0100189 / -0.0100189 | 0.0114436 / -0.0114436 | 0.00979432 / -0.00979431 | 0.0102612 / -0.0102612 |
 | Electron isolation eff. | 0.00144539 / -0.00144543 | 0.000962038 / -0.000962074 | 0.000983899 / -0.000983894 | 0.00147589 / -0.00147591 | 0.00107598 / -0.00107598 | 0.00113863 / -0.00113864 | 0.00120821 / -0.00120811 | 0.00129426 / -0.00129429 | 0.00118375 / -0.00118374 | 0.00119421 / -0.00119427 |
 | Muon id. (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. low pt (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. low pt (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon isolation eff. (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon isolation eff. (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon TTVA (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon TTVA (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon trigger eff. (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon trigger eff. (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.10401e-09 / -4.10401e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | SF(photon ID) | 0.00652578 / -0.00652577 | 0.00854416 / -0.00854415 | 0.007237 / -0.00723699 | 0.00797249 / -0.00797248 | 0.00790391 / -0.0079039 | 0.00783245 / -0.00783244 | 0.00711901 / -0.007119 | 0.00771763 / -0.00771763 | 0.00809335 / -0.00809335 | 0.00790063 / -0.00790061 |
 | SF(photon iso.) | -0.000361738 / -0.000361738 | -0.00100323 / -0.00100323 | -0.000795507 / -0.000795507 | -0.00117239 / -0.00117239 | -0.00115404 / -0.00115404 | -0.000996598 / -0.000996598 | -0.000785281 / -0.000785281 | -0.000728209 / -0.000728209 | -0.00139493 / -0.00139493 | -0.00141116 / -0.00141116 |
 | Pile-up | 0.00277347 / 0.0165846 | 0.00406933 / -0.00630528 | -0.00534052 / 0.00416949 | 0.00264586 / 0.0330295 | 0.00594237 / -0.000697572 | -0.00772782 / -0.00163028 | -0.0050716 / 0.0301954 | 0.0547454 / -0.004226 | 0.00919645 / -0.0152596 | 0.0827521 / -0.0112058 |
 | JVT | 0.0106735 / -0.0106771 | 0.00976189 / -0.0104029 | 0.00941763 / -0.00995834 | 0.0100283 / -0.0103723 | 0.00926981 / -0.00962447 | 0.00819396 / -0.00894684 | 0.00961928 / -0.00989876 | 0.00952449 / -0.00993669 | 0.00968667 / -0.0102168 | 0.0087128 / -0.00943416 |
 | EGamFake | 0.000316768 / -0.000316768 | 0.0331198 / -0.0331198 | 0.000538975 / -0.000538975 | 0.0397017 / -0.0397017 | 0.012984 / -0.012984 | 0.0262988 / -0.0262988 | 2.49323e-05 / -2.49323e-05 | 0.00130106 / -0.00130106 | 0.0729834 / -0.0729834 | 0.00471097 / -0.00471097 |
 | JGamFake | 0.000249444 / -0.000249444 | 0.194652 / -0.194652 | 0.00128447 / -0.00128447 | 0.160573 / -0.160573 | 0.0999022 / -0.0999022 | 0.101669 / -0.101669 | 0.0015993 / -0.0015993 | 0.382448 / -0.382448 | 0.0673267 / -0.0673267 | 0.000498063 / -0.000498063 |
 | PDF Unc. NNPDF | -0.00510074 / 0.00510074 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0229894 / 0.0229894 | 0 / 0 | 0 / 0 | 1.19754 / -0.900048 | 0.00186313 / -0.00186313 | 0 / 0 |
 | c-tag Eigenvar. 1 | 0.00373222 / -0.00373227 | -3.25075e-06 / 3.21429e-06 | -0.000165253 / 0.000165258 | 0.0180418 / -0.0180418 | 0.000529975 / -0.000529977 | -0.00252343 / 0.00252342 | 0.0176043 / -0.0176044 | 0.0313553 / -0.0313552 | 0.01883 / -0.0188301 | 0.0247261 / -0.0247261 |
 | c-tag Eigenvar. 2 | -0.00160819 / 0.00160814 | 0.000108366 / -0.000108403 | 0.000200987 / -0.000200982 | -0.00488181 / 0.0048818 | -0.000283167 / 0.000283166 | 0.000745203 / -0.000745215 | -0.00643441 / 0.0064344 | -0.0066863 / 0.00668634 | -0.00300792 / 0.00300793 | -0.00606335 / 0.00606337 |
 | c-tag Eigenvar. 3 | 0.000136315 / -0.000136279 | -1.05715e-05 / 1.0535e-05 | -2.3047e-05 / 2.30526e-05 | -0.000545468 / 0.00054545 | 0.000468242 / -0.00046818 | -0.000779241 / 0.00077923 | 0.00174934 / -0.00174935 | -0.000516426 / 0.000516462 | 0.000301356 / -0.000301341 | 0.00134477 / -0.00134475 |
 | c-tag Eigenvar. 4 | 0.000255381 / -0.000255345 | -5.60169e-05 / 5.59805e-05 | -0.000201976 / 0.000201982 | 0.00275212 / -0.00275214 | 0.00015562 / -0.000155621 | -0.000243127 / 0.000243116 | 0.00053904 / -0.000539048 | -0.000267569 / 0.000267535 | 0.000947353 / -0.000947339 | 0.00117365 / -0.00117364 |
 | c-tag Eigenvar. 5 | 0.000472607 / -0.000472571 | 9.21087e-05 / -9.21451e-05 | 0.000124841 / -0.000124907 | 0.00255702 / -0.00255704 | -0.000168043 / 0.000168042 | 0.000619487 / -0.000619498 | 0.00236606 / -0.00236607 | 0.00241804 / -0.002418 | 0.00302549 / -0.00302547 | 0.00262034 / -0.00262033 |
 | c-tag Eigenvar. 6 | 0.000355827 / -0.000355792 | 2.16848e-06 / -2.20494e-06 | -8.51288e-05 / 8.51344e-05 | -0.000677646 / 0.000677627 | -0.000286743 / 0.000286742 | -0.000102692 / 0.00010268 | 0.000823539 / -0.000823547 | 0.00220657 / -0.00220654 | 0.000843685 / -0.000843671 | 2.46778e-05 / -2.46659e-05 |
 | c-tag Eigenvar. 7 | -0.000331864 / 0.0003319 | -4.35622e-05 / 4.35258e-05 | -0.000111979 / 0.000111984 | -0.00280438 / 0.00280444 | 2.66314e-05 / -2.66328e-05 | -0.00036287 / 0.000362945 | -0.00315966 / 0.00315965 | -0.00350081 / 0.00350085 | -0.00231453 / 0.00231454 | -0.00219875 / 0.00219876 |
 | c-tag Eigenvar. 8 | -0.000238767 / 0.000238721 | -4.93601e-07 / 5.52215e-07 | -1.43101e-05 / 1.42446e-05 | -0.000163688 / 0.00016367 | -7.60701e-05 / 7.60687e-05 | -0.000137671 / 0.000137659 | -0.00149732 / 0.00149732 | -0.00155351 / 0.00155348 | 2.76063e-05 / -2.75922e-05 | -0.000923385 / 0.000923397 |
 | c-tag Eigenvar. 9 | 0.000303726 / -0.000303772 | 2.16587e-05 / -2.16951e-05 | 0.000156876 / -0.000156871 | 0.00099392 / -0.000993939 | 0.000494905 / -0.000494906 | 0.000203721 / -0.000203733 | 0.0017094 / -0.00170941 | 0.00289698 / -0.00289695 | 0.00080926 / -0.000809343 | 0.000938763 / -0.000938751 |
 | c-tag Eigenvar. 10 | -0.000208552 / 0.000208506 | 6.10194e-05 / -6.10559e-05 | 4.50014e-05 / -4.49959e-05 | -0.00169562 / 0.00169561 | 0.000224129 / -0.000224131 | 8.2247e-05 / -8.21718e-05 | -0.0017669 / 0.00176689 | -0.00187526 / 0.00187523 | -0.000433584 / 0.000433598 | -0.0010813 / 0.00108131 |
 | c-tag Eigenvar. 11 | -0.00020749 / 0.000207444 | 0.000194504 / -0.000194445 | 0.00034163 / -0.000341625 | -0.00192121 / 0.0019212 | 0.000307069 / -0.00030707 | 0.000349958 / -0.000349969 | -0.000421101 / 0.000421093 | -0.0001381 / 0.000138135 | -4.18306e-05 / 4.18448e-05 | -0.00124982 / 0.00124983 |
 | c-tag Eigenvar. 12 | 0.000235536 / -0.000235583 | 0.000153907 / -0.000153943 | 0.000330123 / -0.000330117 | 1.01902e-05 / -1.01333e-05 | 0.000359078 / -0.00035908 | 0.000487882 / -0.000487894 | -0.000293609 / 0.000293601 | 0.000534037 / -0.000534071 | -0.00034669 / 0.000346704 | -0.000762297 / 0.000762308 |
 | c-tag Eigenvar. 13 | 0.000311565 / -0.000311612 | 0.000240615 / -0.000240651 | 0.000407903 / -0.000407897 | -0.000276295 / 0.000276277 | 0.000325639 / -0.00032564 | 0.000660873 / -0.000660884 | 0.000543538 / -0.000543547 | 0.000920136 / -0.0009201 | 0.000223922 / -0.000223908 | 0.000252207 / -0.000252195 |
 | c-tag Eigenvar. 14 | -0.000473143 / 0.000473178 | -0.000116674 / 0.000116638 | -0.000296306 / 0.000296312 | -0.00214078 / 0.00214076 | -0.000420876 / 0.000420875 | -0.000555081 / 0.00055507 | -0.000599942 / 0.000599934 | 0.000128472 / -0.000128437 | -0.000515016 / 0.00051503 | -0.00152806 / 0.001528 |
 | c-tag Eigenvar. 15 | -0.00126496 / 0.00126499 | -0.000354835 / 0.000354799 | -0.000743451 / 0.000743457 | -0.00239294 / 0.002393 | -0.000517304 / 0.000517302 | -0.00119414 / 0.00119413 | -0.00219645 / 0.00219644 | -0.00148475 / 0.00148472 | -0.00169252 / 0.00169253 | -0.00111766 / 0.0011176 |
 | c-tag Eigenvar. 16 | 0.0006637 / -0.000663665 | 0.000355274 / -0.000355311 | 0.000659071 / -0.000659066 | -0.000254165 / 0.000254222 | 0.000519561 / -0.000519562 | 0.00134989 / -0.0013499 | 0.00036009 / -0.000360098 | 0.000555674 / -0.000555638 | 0.000482262 / -0.000482248 | 0.00104329 / -0.00104328 |
 | c-tag Eigenvar. 17 | -0.00100085 / 0.00100089 | -0.000310531 / 0.000310494 | -0.000707083 / 0.000707089 | -0.00126469 / 0.00126467 | -0.000565863 / 0.000565861 | -0.00110115 / 0.00110123 | -0.0010409 / 0.00104089 | -0.000932564 / 0.000932599 | -0.000832066 / 0.00083208 | -0.00129094 / 0.00129095 |
 | c-tag Eigenvar. 18 | 0.000970021 / -0.000969986 | 0.000148488 / -0.000148429 | 0.000442566 / -0.000442561 | 0.000343043 / -0.000343061 | 0.000370183 / -0.000370184 | 0.000854903 / -0.000854914 | 0.000502833 / -0.000502841 | 0.000591385 / -0.000591349 | -0.000391844 / 0.000391858 | 9.45623e-06 / -9.44443e-06 |
 | c-tag Eigenvar. 19 | -0.00392009 / 0.00392005 | -0.00142157 / 0.00142153 | -0.00303543 / 0.00303544 | -0.0030667 / 0.00306669 | -0.00193191 / 0.00193191 | -0.00417117 / 0.00417116 | -0.00248665 / 0.00248664 | -0.0021342 / 0.00213424 | -0.00252313 / 0.00252314 | -0.00222284 / 0.00222285 |
 | c-tag Eigenvar. 20 | -0.00174351 / 0.00174354 | -0.00106941 / 0.00106947 | -0.00179763 / 0.00179764 | -0.00162811 / 0.00162809 | -0.000902325 / 0.000902323 | -0.00242681 / 0.00242679 | -0.00159958 / 0.00159957 | -0.00199766 / 0.00199763 | -0.00124664 / 0.00124656 | -0.00153181 / 0.00153175 |
