 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.600048 / -0.673983 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 |
 | Electron trigger eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron reconstruction eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron identification eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron isolation eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (stat) | 0.000628199 / -0.000628185 | 0.000594835 / -0.000594804 | 0.000626749 / -0.000626723 | 0.00118591 / -0.00118593 | 0.00078713 / -0.000787156 | 0.000704909 / -0.000704934 | 0.00062475 / -0.000624783 | 0.000713866 / -0.000713805 | 0.000577542 / -0.000577566 | 0.000566164 / -0.000566209 |
 | Muon id. low pt (stat) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (syst) | 0.00278691 / -0.00278689 | 0.00278605 / -0.00278609 | 0.00298844 / -0.00298841 | 0.00534202 / -0.00534204 | 0.00320041 / -0.00320037 | 0.0027589 / -0.00275884 | 0.00270621 / -0.00270614 | 0.00232289 / -0.00232291 | 0.00212896 / -0.00212891 | 0.00293821 / -0.00293826 |
 | Muon id. low pt (syst) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon isolation eff. (stat) | 0.000184679 / -0.000184731 | 0.000183707 / -0.000183676 | 0.000204963 / -0.000205028 | 0.000147174 / -0.00014719 | 0.000201755 / -0.000201781 | 0.000208241 / -0.000208267 | 0.000201113 / -0.000201146 | 0.000177626 / -0.000177641 | 0.000150286 / -0.00015031 | 0.000195349 / -0.000195279 |
 | Muon isolation eff. (syst) | 0.0022237 / -0.00222369 | 0.00223777 / -0.00223782 | 0.00223986 / -0.00223992 | 0.0021727 / -0.00217266 | 0.00211131 / -0.00211134 | 0.00210779 / -0.00210781 | 0.00210891 / -0.00210894 | 0.00210054 / -0.00210047 | 0.00219671 / -0.00219673 | 0.00233046 / -0.0023305 |
 | Muon TTVA (stat) | 0.000187506 / -0.000187491 | 0.000182288 / -0.000182257 | 0.000186818 / -0.000186883 | 0.000230331 / -0.000230348 | 0.000182008 / -0.000182034 | 0.000188433 / -0.000188459 | 0.0001791 / -0.000179028 | 0.000176397 / -0.000176413 | 0.000162054 / -0.00016201 | 0.00017462 / -0.000174665 |
 | Muon TTVA (syst) | 3.17451e-05 / -3.17304e-05 | 2.78786e-05 / -2.78475e-05 | 3.19485e-05 / -3.20133e-05 | 3.07159e-05 / -3.06712e-05 | 4.39627e-05 / -4.3989e-05 | 2.88867e-05 / -2.89122e-05 | 3.75002e-05 / -3.74273e-05 | 2.24508e-05 / -2.24662e-05 | 2.58712e-05 / -2.58947e-05 | 2.59736e-05 / -2.60184e-05 |
 | Muon trigger eff. (stat) | 0.00168743 / -0.00168741 | 0.00154226 / -0.00154231 | 0.00162864 / -0.00162861 | 0.00181315 / -0.00181317 | 0.00128364 / -0.00128367 | 0.00199242 / -0.00199237 | 0.00149869 / -0.00149873 | 0.000592245 / -0.00059226 | -2.29017e-05 / 2.29462e-05 | 0.00131386 / -0.00131379 |
 | Muon trigger eff. (syst) | -0.00640419 / 0.0064042 | -0.00617293 / 0.00617296 | -0.00631108 / 0.0063111 | -0.00875034 / 0.00875033 | -0.00736372 / 0.00736376 | -0.00650455 / 0.00650452 | -0.00668237 / 0.00668245 | -0.00493869 / 0.00493868 | -0.00513746 / 0.00513743 | -0.00602926 / 0.00602922 |
 | SF(photon ID) | 0.00605504 / -0.00605503 | 0.00702395 / -0.00702395 | 0.00572541 / -0.0057254 | 0.00703182 / -0.00703181 | 0.00670834 / -0.00670834 | 0.00561132 / -0.00561132 | 0.00586631 / -0.0058663 | 0.00660982 / -0.00660979 | 0.00601283 / -0.00601283 | 0.0058858 / -0.0058858 |
 | SF(photon iso.) | -0.000100356 / -0.000100356 | -0.000709047 / -0.000709047 | -2.98661e-05 / -2.98661e-05 | 9.5026e-05 / 9.5026e-05 | -0.00013287 / -0.00013287 | -5.28566e-05 / -5.28566e-05 | -0.000371862 / -0.000371862 | -0.0010242 / -0.0010242 | 0.00499676 / 0.00499676 | 0.000618055 / 0.000618055 |
 | Pile-up | -0.00682505 / 0.0067402 | 0.0175219 / -0.0255709 | -0.00251124 / 0.00726436 | 0.045082 / -0.256048 | 0.0223962 / -0.0143032 | -0.000485895 / 0.0159173 | 0.00124606 / 0.0211975 | 0.0260788 / -0.0653172 | 0.00380915 / -0.000669277 | 0.0300555 / -0.0135371 |
 | JVT | 0.00552573 / -0.00577823 | 0.00474446 / -0.00550708 | 0.00433024 / -0.00588694 | 0.00736099 / -0.00748052 | 0.00679144 / -0.00756043 | 0.00468643 / -0.00576627 | 0.00730986 / -0.00755083 | 0.00665863 / -0.00753602 | 0.00504269 / -0.00510166 | 0.00306873 / -0.00417176 |
 | EGamFake | 0.000213298 / -0.000213294 | 0.0623172 / -0.0620078 | 0.000515955 / -0.000515936 | 0.0272306 / -0.0271748 | 0.0461593 / -0.045994 | 0.0307207 / -0.0302348 | 0 / 0 | 0.000278007 / -0.000278002 | 0 / 0 | 0 / 0 |
 | JGamFake | 0.00065894 / -0.000658716 | 0.109359 / -0.10328 | 0.000688218 / -0.000687973 | 0.261656 / -0.228146 | 0.0932268 / -0.0887948 | 0.0903315 / -0.0856078 | 0 / 0 | 0.388105 / -0.317085 | 0.314616 / -0.26084 | 0 / 0 |
 | PDF Unc. NNPDF | -0.00506074 / 0.00506057 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0218741 / 0.0218709 | 0 / 0 | 0 / 0 | 0.0147088 / -0.0147104 | 0.0248823 / -0.0248868 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00448894 / 0.00448882 | 0.000180414 / -0.000180384 | -0.00482526 / 0.00482513 | 0.0370828 / -0.0370916 | -0.00360736 / 0.0036073 | -0.00748929 / 0.00748895 | 0.0435409 / -0.0435528 | 0.00937569 / -0.0093763 | 0.011397 / -0.0113978 | 0.0257236 / -0.0257279 |
 | c-tag Eigenvar. 2 | 0.00209009 / -0.00209014 | -0.000146551 / 0.000146582 | 0.00145109 / -0.00145115 | 0.00361417 / -0.00361418 | 0.00068137 / -0.000681336 | 0.00271185 / -0.0027118 | -0.00690335 / 0.00690331 | -0.000793043 / 0.000793028 | -0.000717286 / 0.000717263 | -0.00462594 / 0.00462589 |
 | c-tag Eigenvar. 3 | 8.16909e-05 / -8.16761e-05 | 0.000409212 / -0.000409181 | -0.000561491 / 0.000561517 | 0.00285489 / -0.00285491 | -0.000839249 / 0.000839283 | -0.000554208 / 0.000554183 | 0.00102235 / -0.00102228 | 0.00317985 / -0.00317987 | 0.00215596 / -0.00215598 | 0.00310438 / -0.00310443 |
 | c-tag Eigenvar. 4 | -0.000799225 / 0.000799173 | 4.42733e-05 / -4.42422e-05 | -0.000489817 / 0.000489843 | -0.00361572 / 0.00361576 | -7.05198e-05 / 7.04936e-05 | -0.00102991 / 0.00102988 | 0.00168305 / -0.00168297 | -0.000483077 / 0.000483062 | -0.000545935 / 0.000545911 | -8.7172e-05 / 8.71273e-05 |
 | c-tag Eigenvar. 5 | -0.000499887 / 0.000499902 | -7.20658e-05 / 7.20969e-05 | -0.000357266 / 0.000357202 | 0.00665924 / -0.00665926 | -0.000208383 / 0.000208357 | -0.000372688 / 0.000372662 | 0.00439292 / -0.00439296 | 0.00234961 / -0.00234955 | 0.0022716 / -0.00227163 | 0.00412487 / -0.00412491 |
 | c-tag Eigenvar. 6 | -0.000347829 / 0.000347776 | -7.04106e-05 / 7.03629e-05 | -0.000270351 / 0.000270377 | 0.00308125 / -0.00308126 | -0.000127155 / 0.00012719 | -0.00062431 / 0.000624284 | 0.00200361 / -0.00200364 | 0.00133295 / -0.00133297 | 0.000556251 / -0.000556207 | 0.00231855 / -0.00231859 |
 | c-tag Eigenvar. 7 | 0.000410781 / -0.000410766 | 0.000216654 / -0.000216702 | 0.000157151 / -0.000157215 | -0.000216918 / 0.000216901 | -0.000177007 / 0.000177041 | 0.000744447 / -0.000744473 | -0.00263714 / 0.0026371 | -0.000456971 / 0.000456956 | -0.00265569 / 0.00265566 | -0.0034252 / 0.00342527 |
 | c-tag Eigenvar. 8 | 0.00035195 / -0.000351935 | -0.000105249 / 0.00010528 | -2.86565e-05 / 2.86824e-05 | 0.00171797 / -0.00171799 | 0.000104051 / -0.000104077 | -0.000313651 / 0.000313625 | 0.000165766 / -0.000165799 | -0.000164051 / 0.000164112 | 0.000414966 / -0.00041499 | 0.00128707 / -0.00128711 |
 | c-tag Eigenvar. 9 | -9.13691e-05 / 9.13838e-05 | -0.000140167 / 0.000140198 | -7.77602e-08 / 1.03692e-07 | -0.00187535 / 0.00187534 | 0.000112289 / -0.000112315 | -0.000318912 / 0.000318887 | -0.000459053 / 0.000459126 | 0.00108411 / -0.00108404 | 0.000668558 / -0.000668581 | 0.00110693 / -0.00110697 |
 | c-tag Eigenvar. 10 | 0.000392936 / -0.000392923 | 0.000143337 / -0.000143306 | 0.000305708 / -0.000305683 | -0.0107378 / 0.010737 | 3.88566e-05 / -3.88828e-05 | 0.00103901 / -0.00103897 | -0.00590279 / 0.00590253 | -0.00167763 / 0.00167759 | 0.00104305 / -0.00104308 | -0.00181857 / 0.0018185 |
 | c-tag Eigenvar. 11 | 0.00104284 / -0.0010429 | 0.000112217 / -0.000112186 | 0.000529128 / -0.000529102 | 0.00782363 / -0.00782365 | 0.00014736 / -0.000147387 | 0.000843951 / -0.000843899 | 0.00136916 / -0.00136919 | 0.00109332 / -0.00109333 | -0.000438186 / 0.00043823 | -0.00145878 / 0.00145885 |
 | c-tag Eigenvar. 12 | 0.000519154 / -0.000519206 | 0.000159745 / -0.000159714 | 0.000349943 / -0.000349918 | 0.00398151 / -0.00398153 | 1.55541e-05 / -1.55198e-05 | 0.00103066 / -0.00103068 | 0.000724653 / -0.000724686 | 0.000200583 / -0.000200599 | -0.0001916 / 0.000191577 | 3.18419e-06 / -3.1144e-06 |
 | c-tag Eigenvar. 13 | 0.000666837 / -0.000666822 | 0.000166603 / -0.000166572 | 0.000350488 / -0.000350462 | 0.0027672 / -0.00276721 | 0.000204965 / -0.000204931 | 0.000578479 / -0.000578504 | -0.000710293 / 0.00071026 | 0.00068968 / -0.000689695 | -0.00144514 / 0.00144512 | 0.000523104 / -0.000523149 |
 | c-tag Eigenvar. 14 | -0.000185606 / 0.000185621 | -1.90984e-05 / 1.91295e-05 | -0.000103233 / 0.000103259 | 0.000555849 / -0.000555866 | -6.04042e-05 / 6.03779e-05 | -0.000322239 / 0.000322291 | -0.00165874 / 0.00165871 | 0.000176397 / -0.000176336 | -0.00063593 / 0.000635907 | 0.000136829 / -0.000136759 |
 | c-tag Eigenvar. 15 | -0.000587259 / 0.000587274 | -2.78475e-05 / 2.78786e-05 | -0.000261823 / 0.000261758 | -0.000504168 / 0.000504151 | 4.45684e-05 / -4.45947e-05 | -0.000680793 / 0.000680845 | -0.00122918 / 0.00122914 | 0.000118197 / -0.000118212 | -0.000799663 / 0.000799707 | -0.00136922 / 0.00136918 |
 | c-tag Eigenvar. 16 | 0.00135807 / -0.00135805 | -7.33254e-07 / 6.85516e-07 | 0.000419349 / -0.000419414 | -0.00067913 / 0.000679175 | -8.79648e-05 / 8.79385e-05 | 0.000728121 / -0.000728147 | -0.00047842 / 0.000478493 | -0.000115295 / 0.000115279 | -0.00041499 / 0.000415034 | -0.000295598 / 0.000295553 |
 | c-tag Eigenvar. 17 | -0.00081814 / 0.000818155 | -8.05785e-05 / 8.05307e-05 | -0.000358083 / 0.000358109 | -0.00285019 / 0.00285017 | -0.000255812 / 0.000255786 | -0.000343285 / 0.000343337 | -0.000646054 / 0.000646127 | -0.000406449 / 0.000406434 | -0.00036989 / 0.000369934 | -0.000815518 / 0.000815474 |
 | c-tag Eigenvar. 18 | 0.00189118 / -0.00189117 | 0.000123724 / -0.000123693 | 0.00037326 / -0.000373234 | 0.00155773 / -0.00155775 | 0.000528121 / -0.000528147 | -0.000140873 / 0.000140848 | -0.00013913 / 0.000139097 | 0.000637238 / -0.000637254 | 0.000152531 / -0.000152555 | 9.50291e-05 / -9.49593e-05 |
 | c-tag Eigenvar. 19 | -0.00401675 / 0.00401677 | -0.000361968 / 0.000361999 | -0.00257597 / 0.002576 | -0.00779348 / 0.00779346 | -0.000382409 / 0.000382443 | -0.00471944 / 0.00471941 | -0.00132315 / 0.00132323 | -0.00063472 / 0.000634705 | -0.000177247 / 0.000177224 | -0.00224129 / 0.00224136 |
