 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.600048 / -0.673983 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 |
 | Electron trigger eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron reconstruction eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron identification eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron isolation eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (stat) | 0.000613594 / -0.000613599 | 0.000614646 / -0.00061465 | 0.000621453 / -0.000621381 | 0.000616739 / -0.000616722 | 0.000669811 / -0.00066979 | 0.000619656 / -0.000619667 | 0.000618059 / -0.000618025 | 0.000611093 / -0.000611086 | 0.000618201 / -0.000618194 | 0.000614607 / -0.000614624 |
 | Muon id. low pt (stat) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (syst) | 0.00287448 / -0.00287449 | 0.0028729 / -0.0028729 | 0.00289828 / -0.00289832 | 0.00334071 / -0.00334069 | 0.00331788 / -0.00331786 | 0.00302529 / -0.0030253 | 0.00321557 / -0.00321554 | 0.00277748 / -0.00277747 | 0.00285134 / -0.00285134 | 0.00301883 / -0.00301884 |
 | Muon id. low pt (syst) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon isolation eff. (stat) | 0.000198076 / -0.000198081 | 0.000205861 / -0.000205799 | 0.000209832 / -0.00020976 | 0.0002757 / -0.000275757 | 0.000237868 / -0.000237846 | 0.000264132 / -0.000264143 | 0.000256603 / -0.00025657 | 0.000205462 / -0.000205454 | 0.000213117 / -0.00021317 | 0.000240764 / -0.000240781 |
 | Muon isolation eff. (syst) | 0.00220842 / -0.00220843 | 0.00221129 / -0.00221129 | 0.00221735 / -0.00221738 | 0.002193 / -0.00219299 | 0.0021846 / -0.00218457 | 0.00213786 / -0.00213787 | 0.00220054 / -0.00220051 | 0.00229447 / -0.00229447 | 0.00225938 / -0.00225937 | 0.0022392 / -0.00223912 |
 | Muon TTVA (stat) | 0.000186939 / -0.000186944 | 0.000186252 / -0.000186256 | 0.000185494 / -0.000185528 | 0.000185016 / -0.000185073 | 0.000184292 / -0.000184271 | 0.000192359 / -0.000192371 | 0.000184676 / -0.000184739 | 0.000179043 / -0.000179035 | 0.000179435 / -0.000179489 | 0.000182238 / -0.000182256 |
 | Muon TTVA (syst) | 3.25771e-05 / -3.25818e-05 | 3.19284e-05 / -3.1932e-05 | 3.2345e-05 / -3.2273e-05 | 3.29943e-05 / -3.29776e-05 | 3.3066e-05 / -3.30448e-05 | 3.24924e-05 / -3.25041e-05 | 3.24797e-05 / -3.24461e-05 | 3.01271e-05 / -3.01194e-05 | 2.88386e-05 / -2.88316e-05 | 3.13965e-05 / -3.14137e-05 |
 | Muon trigger eff. (stat) | 0.00159858 / -0.00159858 | 0.00156869 / -0.0015687 | 0.00155246 / -0.00155239 | 0.00161169 / -0.00161167 | 0.00135467 / -0.00135465 | 0.00201636 / -0.00201638 | 0.00150295 / -0.00150291 | 0.00138015 / -0.00138014 | 0.001302 / -0.001302 | 0.00141205 / -0.00141207 |
 | Muon trigger eff. (syst) | -0.00634831 / 0.0063484 | -0.00625959 / 0.00625959 | -0.0063608 / 0.00636076 | -0.00623764 / 0.00623766 | -0.00648521 / 0.00648523 | -0.00611249 / 0.00611248 | -0.0064368 / 0.00643683 | -0.00638765 / 0.0063876 | -0.00628495 / 0.00628496 | -0.00649025 / 0.00649024 |
 | SF(photon ID) | 0.00651998 / -0.00651997 | 0.00857037 / -0.00857036 | 0.00753793 / -0.00753792 | 0.00814014 / -0.00814013 | 0.0083129 / -0.00831289 | 0.00785742 / -0.0078574 | 0.00728481 / -0.00728479 | 0.00784688 / -0.00784687 | 0.00837876 / -0.00837875 | 0.00787184 / -0.00787183 |
 | SF(photon iso.) | -0.000441415 / -0.000441415 | -0.00111739 / -0.00111739 | -0.00114021 / -0.00114021 | -0.00126962 / -0.00126962 | -0.0014047 / -0.0014047 | -0.00125082 / -0.00125082 | -0.00126583 / -0.00126583 | -0.000454995 / -0.000454995 | -0.001433 / -0.001433 | -0.00170509 / -0.00170509 |
 | Pile-up | -0.0022466 / -0.00146452 | 0.00951394 / -0.00437496 | -0.00278215 / 0.00246731 | 0.00520798 / -0.000757063 | 0.000222515 / -0.0582586 | 0.0260282 / -0.00472935 | -0.00190438 / 0.00371266 | 0.0418313 / -0.0204747 | 0.0176204 / -0.0274032 | 0.00900538 / -0.00963971 |
 | JVT | 0.00873847 / -0.0093632 | 0.00850213 / -0.0091714 | 0.00764472 / -0.00858419 | 0.0079603 / -0.00853523 | 0.00741942 / -0.00802954 | -0.00173117 / -0.00561936 | 0.0078422 / -0.00826759 | 0.00805884 / -0.00902492 | 0.00728297 / -0.00794798 | 0.00677162 / -0.00806408 |
 | EGamFake | 8.89628e-05 / -8.89623e-05 | 0.0320418 / -0.031964 | 0.00045557 / -0.000455555 | 0.0320389 / -0.0319611 | 0.0169262 / -0.0169051 | 0.026145 / -0.0260937 | 0 / 0 | 0.000631925 / -0.000631897 | 0.00320978 / -0.00320903 | 0.000129718 / -0.000129717 |
 | JGamFake | 0.000544549 / -0.000544395 | 0.228729 / -0.20289 | 0.00176133 / -0.00175972 | 0.201147 / -0.181019 | 0.129314 / -0.120851 | 0.115625 / -0.108839 | 0.000707546 / -0.000707287 | 0.362286 / -0.299909 | 0.182341 / -0.165722 | 0.00884281 / -0.00880238 |
 | PDF Unc. NNPDF | -0.00506082 / 0.00506065 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0243107 / 0.0243068 | 0 / 0 | 0 / 0 | 0.00314847 / -0.00314854 | 0.0272675 / -0.0272729 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00629692 / 0.00629664 | -0.00337832 / 0.00337823 | -0.00694282 / 0.00694256 | -0.00801449 / 0.00801398 | -0.00465993 / 0.0046598 | -0.00996441 / 0.0099637 | -0.00503055 / 0.00503031 | -0.00492969 / 0.00492953 | -0.00484514 / 0.00484498 | -0.00634814 / 0.00634785 |
 | c-tag Eigenvar. 2 | 0.00197412 / -0.00197413 | 0.000858975 / -0.000858979 | 0.00192476 / -0.00192479 | 0.00275814 / -0.00275812 | 0.00109256 / -0.00109253 | 0.00265726 / -0.00265718 | 0.00174462 / -0.00174468 | 0.00121532 / -0.00121531 | 0.0014884 / -0.0014884 | 0.00168813 / -0.00168814 |
 | c-tag Eigenvar. 3 | 0.000136248 / -0.000136253 | -0.000143573 / 0.00014357 | -0.000396281 / 0.000396353 | -0.00110029 / 0.00110031 | -0.000305069 / 0.00030509 | -0.000569083 / 0.000569167 | -0.000291862 / 0.000291895 | -0.000501342 / 0.00050135 | -0.000419983 / 0.00041999 | -0.000628744 / 0.000628727 |
 | c-tag Eigenvar. 4 | -0.000688334 / 0.000688329 | -0.000249397 / 0.000249393 | -0.000641149 / 0.000641115 | -0.000865679 / 0.000865622 | -0.000318817 / 0.000318737 | -0.000982063 / 0.000982147 | -0.000532672 / 0.000532706 | -0.000369128 / 0.000369135 | -0.000429009 / 0.000428956 | -0.000503221 / 0.000503204 |
 | c-tag Eigenvar. 5 | -0.000762444 / 0.000762439 | -0.000301688 / 0.000301684 | -0.000657728 / 0.000657694 | -0.000397845 / 0.000397789 | -0.000547576 / 0.000547597 | -0.00119633 / 0.00119642 | -0.000398121 / 0.000398155 | -0.00040909 / 0.000409097 | -0.000373944 / 0.000373951 | -0.000559604 / 0.000559587 |
 | c-tag Eigenvar. 6 | -0.000474225 / 0.000474221 | -0.000182465 / 0.000182461 | -0.000425082 / 0.000425048 | -0.000193899 / 0.000193842 | -0.000308001 / 0.000308022 | -0.000769322 / 0.00076931 | -0.000164791 / 0.000164729 | -0.000239039 / 0.000239047 | -0.000148533 / 0.000148541 | -0.000302812 / 0.000302795 |
 | c-tag Eigenvar. 7 | 0.000697489 / -0.000697493 | 0.00028018 / -0.000280183 | 0.000471067 / -0.000471101 | 0.000240397 / -0.000240381 | 0.000195209 / -0.000195188 | 0.000476014 / -0.000476026 | 0.000345121 / -0.000345087 | 0.00019204 / -0.000192032 | 0.000234925 / -0.000234918 | 0.000221775 / -0.000221792 |
 | c-tag Eigenvar. 8 | 0.000107416 / -0.000107421 | -7.87978e-05 / 7.87941e-05 | 1.16205e-05 / -1.16547e-05 | 7.14595e-05 / -7.14428e-05 | 0.000210473 / -0.000210452 | 0.000496535 / -0.000496546 | 0.000129149 / -0.000129211 | 1.29399e-05 / -1.29322e-05 | 0.000111043 / -0.000111096 | 0.000157796 / -0.000157716 |
 | c-tag Eigenvar. 9 | -0.000216296 / 0.000216292 | -0.000124356 / 0.000124353 | -0.000145567 / 0.000145533 | -1.34876e-05 / 1.35042e-05 | 7.35007e-05 / -7.34795e-05 | 0.000167162 / -0.000167078 | -1.90198e-05 / 1.90534e-05 | -1.39299e-06 / 1.33996e-06 | 2.70818e-05 / -2.70748e-05 | 6.0708e-05 / -6.06277e-05 |
 | c-tag Eigenvar. 10 | 0.000659451 / -0.000659458 | 0.000308897 / -0.000308901 | 0.000552813 / -0.000552849 | 0.00038316 / -0.000383145 | 0.000258979 / -0.000258958 | 0.000591451 / -0.000591465 | 0.000329011 / -0.000329074 | 0.000294406 / -0.000294399 | 0.000256709 / -0.000256703 | 0.000325834 / -0.000325852 |
 | c-tag Eigenvar. 11 | 0.000974154 / -0.000974158 | 0.000318744 / -0.000318748 | 0.000764718 / -0.000764646 | 0.000691316 / -0.000691299 | 0.000456923 / -0.000456901 | 0.00116015 / -0.00116016 | 0.000526568 / -0.00052663 | 0.000362091 / -0.000362083 | 0.000395456 / -0.000395449 | 0.000528522 / -0.00052854 |
 | c-tag Eigenvar. 12 | 0.000648151 / -0.000648156 | 0.000276715 / -0.000276719 | 0.0005664 / -0.000566328 | 0.000555842 / -0.000555898 | 0.00027153 / -0.000271508 | 0.000746308 / -0.000746224 | 0.000410143 / -0.000410205 | 0.000332332 / -0.000332324 | 0.000323853 / -0.000323846 | 0.000388977 / -0.000388896 |
 | c-tag Eigenvar. 13 | 0.000575394 / -0.000575399 | 0.00022449 / -0.000224494 | 0.000479888 / -0.000479923 | 0.000548634 / -0.000548617 | 0.000288108 / -0.000288087 | 0.000598277 / -0.000598288 | 0.000381468 / -0.000381434 | 0.000281681 / -0.000281673 | 0.00030362 / -0.000303613 | 0.000374175 / -0.000374095 |
 | c-tag Eigenvar. 14 | -0.000150513 / 0.000150508 | -5.00377e-05 / 5.00341e-05 | -0.000109007 / 0.000108973 | -0.000232143 / 0.00023216 | -9.65272e-05 / 9.65484e-05 | -0.000189889 / 0.000189877 | -0.000192795 / 0.000192732 | -8.95157e-05 / 8.95234e-05 | -0.000155076 / 0.000155083 | -0.000142914 / 0.000142897 |
 | c-tag Eigenvar. 15 | -0.000540633 / 0.000540629 | -0.00016279 / 0.000162787 | -0.000355682 / 0.000355648 | -0.000642978 / 0.000642995 | -0.000294152 / 0.000294173 | -0.000555434 / 0.000555423 | -0.000600091 / 0.000600029 | -0.00024408 / 0.000244087 | -0.000500794 / 0.000500801 | -0.000411878 / 0.000411958 |
 | c-tag Eigenvar. 16 | 0.00132316 / -0.00132316 | 0.000374304 / -0.000374307 | 0.000829548 / -0.000829583 | 0.000856282 / -0.000856265 | 0.000576205 / -0.000576184 | 0.00138005 / -0.00138006 | 0.000947866 / -0.000947929 | 0.000323161 / -0.000323153 | 0.00069356 / -0.000693553 | 0.000649566 / -0.000649583 |
 | c-tag Eigenvar. 17 | -0.0007766 / 0.000776595 | -0.000323585 / 0.000323581 | -0.000663999 / 0.000663965 | -0.000606425 / 0.000606442 | -0.000283437 / 0.000283458 | -0.00104983 / 0.00104982 | -0.00044099 / 0.000440927 | -0.000297464 / 0.000297471 | -0.000252485 / 0.000252432 | -0.000400192 / 0.000400273 |
 | c-tag Eigenvar. 18 | 0.00118066 / -0.00118067 | 0.000127817 / -0.000127821 | 0.000568738 / -0.000568772 | 0.000267463 / -0.000267446 | 0.000670115 / -0.000670093 | 0.000817986 / -0.000817997 | 0.00034349 / -0.000343457 | 1.27577e-05 / -1.28107e-05 | 0.000233289 / -0.000233282 | 0.000389171 / -0.000389189 |
 | c-tag Eigenvar. 19 | -0.00405817 / 0.00405817 | -0.00146843 / 0.00146843 | -0.00329697 / 0.00329694 | -0.00247842 / 0.00247844 | -0.00183431 / 0.00183433 | -0.00463084 / 0.00463082 | -0.00190657 / 0.0019065 | -0.00151005 / 0.00151005 | -0.00147604 / 0.00147604 | -0.00207338 / 0.00207336 |
 | c-tag Eigenvar. 20 | -0.00143454 / 0.00143453 | -0.00101677 / 0.00101676 | -0.00173764 / 0.0017376 | -0.00177847 / 0.00177849 | -0.00117937 / 0.00117939 | -0.00216918 / 0.00216917 | -0.00122768 / 0.00122771 | -0.00140589 / 0.0014059 | -0.00128479 / 0.0012848 | -0.00163001 / 0.00163009 |
