 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.600048 / -0.673983 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 |
 | Electron trigger eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron reconstruction eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron identification eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron isolation eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (stat) | 0.000626694 / -0.000626679 | 0.000616511 / -0.000616477 | 0.00062261 / -0.000622578 | 0.000588785 / -0.000588755 | 0.000604995 / -0.000604963 | 0.00061939 / -0.00061939 | 0.000609569 / -0.00060964 | 0.000588663 / -0.000588665 | 0.00060723 / -0.000607237 | 0.000610697 / -0.000610656 |
 | Muon id. low pt (stat) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (syst) | 0.0028469 / -0.00284689 | 0.00294071 / -0.00294068 | 0.00296156 / -0.00296152 | 0.00332971 / -0.00332968 | 0.0033472 / -0.00334716 | 0.00320976 / -0.00320976 | 0.00328748 / -0.00328747 | 0.00284704 / -0.00284705 | 0.00289337 / -0.00289338 | 0.0029993 / -0.00299932 |
 | Muon id. low pt (syst) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.35929e-10 / -9.35929e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon isolation eff. (stat) | 0.000185875 / -0.000185926 | 0.000205195 / -0.000205162 | 0.000212588 / -0.000212665 | 0.000289344 / -0.000289423 | 0.000260676 / -0.000260746 | 0.000244687 / -0.000244687 | 0.000276805 / -0.000276795 | 0.000232137 / -0.000232139 | 0.000223915 / -0.000223923 | 0.000256577 / -0.000256597 |
 | Muon isolation eff. (syst) | 0.00224537 / -0.00224542 | 0.00221466 / -0.00221463 | 0.00220999 / -0.00220996 | 0.00219953 / -0.00219951 | 0.00221693 / -0.002217 | 0.0021208 / -0.0021208 | 0.00221351 / -0.0022135 | 0.00221259 / -0.0022126 | 0.00244553 / -0.00244554 | 0.00233841 / -0.00233837 |
 | Muon TTVA (stat) | 0.000189449 / -0.000189435 | 0.000186248 / -0.000186288 | 0.000186619 / -0.000186587 | 0.000191153 / -0.000191123 | 0.000184687 / -0.000184757 | 0.000188652 / -0.000188652 | 0.000182231 / -0.000182221 | 0.000179696 / -0.000179698 | 0.000186813 / -0.000186738 | 0.00018667 / -0.00018669 |
 | Muon TTVA (syst) | 3.28916e-05 / -3.2877e-05 | 3.15714e-05 / -3.16116e-05 | 3.19019e-05 / -3.19792e-05 | 2.95911e-05 / -2.95616e-05 | 2.92073e-05 / -2.91746e-05 | 3.10272e-05 / -3.1027e-05 | 3.43811e-05 / -3.4371e-05 | 3.30469e-05 / -3.30487e-05 | 3.34379e-05 / -3.34449e-05 | 3.17167e-05 / -3.16761e-05 |
 | Muon trigger eff. (stat) | 0.00164689 / -0.00164687 | 0.00156639 / -0.00156636 | 0.00160066 / -0.00160063 | 0.00137875 / -0.00137872 | 0.00136468 / -0.00136465 | 0.0019666 / -0.0019666 | 0.00142832 / -0.00142839 | 0.00106407 / -0.00106407 | 0.00147955 / -0.00147956 | 0.00127406 / -0.00127408 |
 | Muon trigger eff. (syst) | -0.00629779 / 0.00629781 | -0.00624175 / 0.00624178 | -0.00631709 / 0.00631712 | -0.00608964 / 0.00608967 | -0.00625864 / 0.00625867 | -0.00602784 / 0.00602784 | -0.00650627 / 0.0065062 | -0.00681347 / 0.00681347 | -0.00617673 / 0.00617673 | -0.00653068 / 0.00653066 |
 | SF(photon ID) | 0.00670257 / -0.00670256 | 0.00857348 / -0.00857346 | 0.00739074 / -0.00739072 | 0.00780654 / -0.00780654 | 0.00783105 / -0.00783104 | 0.00797238 / -0.00797236 | 0.00712843 / -0.00712841 | 0.00821847 / -0.00821846 | 0.00828784 / -0.00828782 | 0.00780205 / -0.00780204 |
 | SF(photon iso.) | -0.000630695 / -0.000630695 | -0.00121795 / -0.00121795 | -0.00100663 / -0.00100663 | -0.000872872 / -0.000872872 | -0.00126554 / -0.00126554 | -0.00107453 / -0.00107453 | -0.00155746 / -0.00155746 | -4.07309e-05 / -4.07309e-05 | -0.00150853 / -0.00150853 | -0.00183847 / -0.00183847 |
 | Pile-up | -0.00199206 / -0.00637555 | 0.00353437 / -0.00309065 | -0.00384651 / 0.00378664 | 0.0335008 / 0.00274023 | 0.0049791 / -0.0158231 | -0.00062382 / 0.0137071 | 0.00356864 / -0.0176488 | -0.00459904 / -0.061837 | 0.00222559 / -0.0197612 | -0.00251896 / -0.0132514 |
 | JVT | 0.0123173 / -0.0125009 | 0.0115832 / -0.0121547 | 0.0110363 / -0.0115995 | 0.0117536 / -0.0120374 | 0.0104649 / -0.0108516 | 0.0104436 / -0.0105835 | 0.0105571 / -0.0107957 | 0.0126701 / -0.012943 | 0.0105961 / -0.0111369 | 0.0120929 / -0.0124478 |
 | EGamFake | 0.000252923 / -0.000252919 | 0.0302733 / -0.0302041 | 0.00044388 / -0.000443866 | 0.0242302 / -0.0241864 | 0.0138576 / -0.0138435 | 0.0222901 / -0.022253 | 0 / 0 | 0.000495643 / -0.000495626 | 0.00249256 / -0.00249211 | 0 / 0 |
 | JGamFake | 0.000824173 / -0.000823822 | 0.23627 / -0.208755 | 0.00136703 / -0.00136606 | 0.228592 / -0.202783 | 0.0995208 / -0.0944765 | 0.108912 / -0.102882 | 3.0022e-05 / -3.00216e-05 | 0.373846 / -0.307659 | 0.169085 / -0.154748 | 0.00262938 / -0.00262581 |
 | PDF Unc. NNPDF | -0.00506142 / 0.00506125 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0245138 / 0.0245099 | 0 / 0 | 0 / 0 | 0.00138793 / -0.00138794 | 0.160577 / -0.160813 | 0 / 0 |
 | c-tag Eigenvar. 1 | 0.00569132 / -0.00569159 | 0.000290745 / -0.000290713 | -0.000197109 / 0.000197141 | 0.0265917 / -0.0265962 | 0.00272518 / -0.0027252 | -0.00036728 / 0.000367279 | 0.0204794 / -0.0204822 | 0.0182946 / -0.0182968 | 0.0112588 / -0.0112596 | 0.0210401 / -0.021043 |
 | c-tag Eigenvar. 2 | -0.00180337 / 0.00180338 | -4.23755e-05 / 4.23353e-05 | 0.00019396 / -0.000193928 | -0.0065608 / 0.00656073 | -0.00017271 / 0.000172742 | 0.000308376 / -0.000308376 | -0.0052768 / 0.00527681 | -0.00264784 / 0.00264784 | -0.00298963 / 0.00298962 | -0.0046111 / 0.00461108 |
 | c-tag Eigenvar. 3 | 0.000289857 / -0.000289843 | 4.698e-05 / -4.69465e-05 | -3.0993e-05 / 3.10253e-05 | -0.00263174 / 0.00263177 | 0.000676969 / -0.000677039 | 0.00034977 / -0.00034977 | -1.00145e-05 / 1.00246e-05 | 0.00167913 / -0.00167913 | -0.000182345 / 0.000182337 | -0.00266154 / 0.00266152 |
 | c-tag Eigenvar. 4 | 0.000508804 / -0.00050879 | -5.40242e-05 / 5.3984e-05 | -0.000182313 / 0.000182236 | -0.00660525 / 0.00660528 | 0.000339033 / -0.000339103 | -0.000109431 / 0.000109431 | 0.000494873 / -0.000494863 | 0.000282397 / -0.000282399 | 0.000338723 / -0.00033873 | 0.00105427 / -0.00105428 |
 | c-tag Eigenvar. 5 | 0.000578537 / -0.000578523 | 8.4875e-05 / -8.49152e-05 | 0.000117369 / -0.000117446 | 0.00239505 / -0.00239502 | 0.000413993 / -0.000414063 | 0.000234877 / -0.000234877 | 0.00256118 / -0.00256117 | 0.002397 / -0.002397 | 0.00180591 / -0.00180592 | 0.00241851 / -0.00241853 |
 | c-tag Eigenvar. 6 | -0.000188395 / 0.00018841 | 6.87325e-06 / -6.83973e-06 | -0.000119528 / 0.00011956 | 0.00104135 / -0.00104132 | -1.27075e-06 / 1.20045e-06 | -0.000205745 / 0.000205745 | 0.000315417 / -0.000315407 | 0.00103504 / -0.00103504 | 0.000570046 / -0.000570053 | 0.00023607 / -0.000236089 |
 | c-tag Eigenvar. 7 | -0.000424954 / 0.000424969 | -6.47881e-05 / 6.48216e-05 | -0.000102435 / 0.000102467 | -0.0027627 / 0.00276273 | -7.34502e-05 / 7.34828e-05 | 3.93506e-05 / -3.93504e-05 | -0.00341104 / 0.00341105 | -0.00238093 / 0.00238093 | -0.00176703 / 0.00176702 | -0.00144833 / 0.00144831 |
 | c-tag Eigenvar. 8 | -0.000236877 / 0.000236891 | -5.37293e-05 / 5.36891e-05 | -2.31038e-05 / 2.3136e-05 | -0.000331814 / 0.000331843 | 0.000105917 / -0.000105885 | -5.33219e-05 / 5.33221e-05 | -0.00141446 / 0.00141447 | -7.47027e-05 / 7.47009e-05 | -0.000473065 / 0.000473058 | -0.000954461 / 0.000954502 |
 | c-tag Eigenvar. 9 | 0.000375382 / -0.000375368 | 9.96939e-05 / -9.96604e-05 | 0.000144324 / -0.000144401 | 0.0012426 / -0.00124257 | 4.25929e-05 / -4.26632e-05 | 0.000129719 / -0.000129719 | 0.000992919 / -0.000992909 | 0.00105799 / -0.00105799 | 0.00131381 / -0.00131382 | 0.00152793 / -0.00152795 |
 | c-tag Eigenvar. 10 | -0.000346532 / 0.000346546 | 5.23066e-05 / -5.23466e-05 | 3.97441e-05 / -3.97121e-05 | -0.00153885 / 0.00153887 | 9.68181e-06 / -9.75165e-06 | 9.80727e-05 / -9.80725e-05 | -0.00150945 / 0.00150944 | -0.00149038 / 0.00149036 | -0.000457149 / 0.00045714 | -0.0013985 / 0.00139853 |
 | c-tag Eigenvar. 11 | -8.75976e-05 / 8.76121e-05 | 0.000225765 / -0.000225805 | 0.000346815 / -0.000346782 | -0.00131849 / 0.00131852 | 0.000444162 / -0.000444129 | 0.000521144 / -0.000521144 | -0.000451527 / 0.000451537 | -0.000285038 / 0.000285036 | -0.00077778 / 0.000777773 | -0.000642322 / 0.000642302 |
 | c-tag Eigenvar. 12 | 0.000197833 / -0.000197818 | 0.00016848 / -0.000168446 | 0.000290932 / -0.0002909 | -0.000553177 / 0.000553098 | 0.000113537 / -0.000113504 | 0.00043843 / -0.00043843 | 0.00017938 / -0.000179369 | -0.000824245 / 0.000824243 | 0.000369723 / -0.000369649 | -0.000162141 / 0.000162121 |
 | c-tag Eigenvar. 13 | 0.000134209 / -0.000134194 | 0.000242648 / -0.000242614 | 0.000435569 / -0.000435537 | 0.00210502 / -0.0021051 | 0.000229065 / -0.000229032 | 0.000543662 / -0.000543662 | 0.000260432 / -0.000260503 | 0.000793031 / -0.000793033 | 0.000146536 / -0.000146544 | 6.46496e-05 / -6.46693e-05 |
 | c-tag Eigenvar. 14 | -0.000428204 / 0.000428153 | -0.000125612 / 0.000125645 | -0.000288051 / 0.000288084 | -0.000367068 / 0.000367097 | -0.000440011 / 0.000440043 | -0.000489336 / 0.000489336 | -0.00105938 / 0.00105939 | -0.000193239 / 0.000193237 | -0.000727903 / 0.000727896 | -0.00147891 / 0.00147896 |
 | c-tag Eigenvar. 15 | -0.00135494 / 0.00135496 | -0.000320395 / 0.000320429 | -0.000724371 / 0.000724403 | -0.00206173 / 0.00206176 | -0.000863923 / 0.000863853 | -0.00132599 / 0.00132599 | -0.00192815 / 0.00192816 | -0.00143184 / 0.00143184 | -0.00130951 / 0.0013095 | -0.00169533 / 0.00169531 |
 | c-tag Eigenvar. 16 | 0.000780457 / -0.000780508 | 0.000296394 / -0.000296434 | 0.0006122 / -0.000612278 | 0.000675297 / -0.000675267 | 0.000823078 / -0.000823148 | 0.0014197 / -0.0014197 | 0.00100017 / -0.00100016 | 0.000316937 / -0.000316938 | 0.000535872 / -0.000535879 | 0.000570164 / -0.000570183 |
 | c-tag Eigenvar. 17 | -0.00102896 / 0.00102897 | -0.000349885 / 0.000349919 | -0.000717906 / 0.000717938 | -0.00109874 / 0.00109877 | -0.000341369 / 0.000341401 | -0.000949875 / 0.000949875 | -0.000840742 / 0.000840752 | -0.000466113 / 0.000466111 | -0.00109324 / 0.00109323 | -0.000808012 / 0.000807992 |
 | c-tag Eigenvar. 18 | 0.000917843 / -0.000917829 | 0.000170397 / -0.000170363 | 0.000424611 / -0.000424579 | 0.000158062 / -0.000158032 | 0.000426246 / -0.000426213 | 0.000946382 / -0.000946382 | 0.000460334 / -0.000460324 | 0.00040013 / -0.000400132 | 0.000222288 / -0.000222295 | 0.000432219 / -0.000432239 |
 | c-tag Eigenvar. 19 | -0.00400492 / 0.00400494 | -0.00144206 / 0.00144202 | -0.00306551 / 0.00306554 | -0.00322933 / 0.00322925 | -0.0018247 / 0.00182474 | -0.00391168 / 0.00391168 | -0.00215615 / 0.00215616 | -0.00188315 / 0.00188315 | -0.00256685 / 0.00256685 | -0.00235164 / 0.00235162 |
