 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.600048 / -0.673983 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 | 0.047369 / -0.047424 |
 | Electron trigger eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron reconstruction eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron identification eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron isolation eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon id. (stat) | 0.000633723 / -0.000633773 | 0.000613595 / -0.000613546 | 0.000623682 / -0.000623634 | 0.000591888 / -0.000591927 | 0.000602858 / -0.000602837 | 0.000621084 / -0.00062105 | 0.000612211 / -0.000612273 | 0.000586154 / -0.000586145 | 0.00060463 / -0.000604653 | 0.000617344 / -0.000617358 |
 | Muon id. low pt (stat) | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon id. (syst) | 0.00284657 / -0.00284662 | 0.00294574 / -0.00294577 | 0.00295841 / -0.00295836 | 0.00337439 / -0.00337437 | 0.00325454 / -0.00325452 | 0.00320872 / -0.00320877 | 0.00330171 / -0.00330178 | 0.00290656 / -0.00290655 | 0.00288497 / -0.00288499 | 0.00299461 / -0.00299463 |
 | Muon id. low pt (syst) | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon isolation eff. (stat) | 0.000183491 / -0.00018346 | 0.000206192 / -0.000206143 | 0.000214015 / -0.000214081 | 0.000292975 / -0.000292952 | 0.000260276 / -0.000260346 | 0.000245471 / -0.000245437 | 0.000278774 / -0.00027874 | 0.000230431 / -0.000230421 | 0.000222239 / -0.000222262 | 0.000241989 / -0.000242004 |
 | Muon isolation eff. (syst) | 0.00224458 / -0.00224455 | 0.00221739 / -0.00221742 | 0.00220512 / -0.00220507 | 0.0021889 / -0.00218888 | 0.0022301 / -0.00223008 | 0.00213619 / -0.00213623 | 0.00216698 / -0.00216694 | 0.0022221 / -0.00222215 | 0.00251271 / -0.00251264 | 0.00237701 / -0.00237702 |
 | Muon TTVA (stat) | 0.000190242 / -0.000190292 | 0.000185926 / -0.000185954 | 0.0001862 / -0.000186152 | 0.000191767 / -0.000191806 | 0.000183881 / -0.00018386 | 0.000188267 / -0.000188233 | 0.000181183 / -0.000181245 | 0.000178332 / -0.000178389 | 0.000189247 / -0.00018927 | 0.000186522 / -0.000186536 |
 | Muon TTVA (syst) | 3.36041e-05 / -3.35727e-05 | 3.12713e-05 / -3.12994e-05 | 3.21314e-05 / -3.2083e-05 | 2.82109e-05 / -2.81879e-05 | 2.94393e-05 / -2.94176e-05 | 2.99483e-05 / -2.99145e-05 | 3.4413e-05 / -3.43794e-05 | 3.31981e-05 / -3.31885e-05 | 3.40241e-05 / -3.40471e-05 | 3.1673e-05 / -3.16874e-05 |
 | Muon trigger eff. (stat) | 0.00168513 / -0.0016851 | 0.0015359 / -0.00153593 | 0.00157522 / -0.00157518 | 0.00134899 / -0.00134897 | 0.00135817 / -0.00135815 | 0.00194193 / -0.00194198 | 0.00141102 / -0.00141109 | 0.00102607 / -0.00102613 | 0.00151033 / -0.00151025 | 0.00122648 / -0.00122649 |
 | Muon trigger eff. (syst) | -0.00637129 / 0.00637132 | -0.00626063 / 0.00626061 | -0.00631354 / 0.00631347 | -0.00596102 / 0.00596104 | -0.00628304 / 0.00628306 | -0.00596512 / 0.00596515 | -0.0065111 / 0.00651113 | -0.00665212 / 0.00665213 | -0.00619822 / 0.0061983 | -0.00667663 / 0.00667662 |
 | SF(photon ID) | 0.0067224 / -0.00672238 | 0.00856442 / -0.0085644 | 0.00741586 / -0.00741585 | 0.00752111 / -0.0075211 | 0.00789702 / -0.007897 | 0.00800078 / -0.00800076 | 0.00714038 / -0.00714036 | 0.00827364 / -0.00827363 | 0.00829543 / -0.00829541 | 0.00783662 / -0.00783661 |
 | SF(photon iso.) | -0.000617436 / -0.000617436 | -0.00125271 / -0.00125271 | -0.00103553 / -0.00103553 | -0.000483237 / -0.000483237 | -0.00119569 / -0.00119569 | -0.00094272 / -0.00094272 | -0.00160091 / -0.00160091 | -4.30559e-05 / -4.30559e-05 | -0.00162747 / -0.00162747 | -0.00192923 / -0.00192923 |
 | Pile-up | -0.00511634 / -0.00741084 | 0.00101815 / -0.00106361 | -0.00286846 / 0.000659713 | 0.0343066 / 5.47253e-05 | 0.0126155 / -0.0247439 | -0.00657112 / 0.0357577 | 0.00348856 / -0.0194922 | 0.00108775 / -0.0606594 | 0.00345603 / -0.0270695 | -0.00430106 / -0.0203361 |
 | JVT | 0.0124045 / -0.0125872 | 0.0116334 / -0.0122001 | 0.0110223 / -0.0115105 | 0.0116055 / -0.0119089 | 0.0109814 / -0.0113882 | 0.0115187 / -0.0105997 | 0.0107154 / -0.0109058 | 0.0122585 / -0.0125888 | 0.0106974 / -0.0112412 | 0.0119194 / -0.0123359 |
 | EGamFake | 0.000245005 / -0.000245001 | 0.0296547 / -0.0295883 | 0.000456226 / -0.000456212 | 0.0239532 / -0.0239103 | 0.0148077 / -0.0147915 | 0.022587 / -0.022549 | 0 / 0 | 0.000567379 / -0.000567356 | 0.00240909 / -0.00240867 | 0 / 0 |
 | JGamFake | 0.00102961 / -0.00102906 | 0.238836 / -0.21074 | 0.00139133 / -0.00139033 | 0.23193 / -0.205386 | 0.104998 / -0.099389 | 0.113543 / -0.106996 | 3.52622e-05 / -3.52615e-05 | 0.372774 / -0.306944 | 0.17059 / -0.156002 | 0.00312911 / -0.00312404 |
 | PDF Unc. NNPDF | -0.00506097 / 0.00506079 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0247498 / 0.0247457 | 0 / 0 | 0 / 0 | 0.000763827 / -0.000763831 | 0.193834 / -0.0926416 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00213313 / 0.00213313 | -0.00292247 / 0.00292239 | -0.00532876 / 0.00532861 | 0.0254576 / -0.0254618 | -0.00163886 / 0.00163887 | -0.00589427 / 0.00589398 | 0.019662 / -0.0196646 | 0.0182886 / -0.0182908 | 0.0110393 / -0.01104 | 0.0168321 / -0.0168339 |
 | c-tag Eigenvar. 2 | 0.000587854 / -0.000587822 | 0.000692965 / -0.000692993 | 0.00150735 / -0.0015073 | -0.00285172 / 0.00285174 | 0.000610571 / -0.00061055 | 0.00237056 / -0.00237053 | -0.00501603 / 0.00501607 | -0.002954 / 0.00295401 | -0.0030746 / 0.00307457 | -0.00456113 / 0.00456111 |
 | c-tag Eigenvar. 3 | 0.00042105 / -0.0004211 | -0.000142108 / 0.00014208 | -0.000259867 / 0.000259915 | -0.00382704 / 0.003827 | 0.000695505 / -0.000695483 | -1.1867e-05 / 1.19009e-05 | 0.000584273 / -0.000584335 | 0.0013073 / -0.00130729 | -0.000147532 / 0.000147609 | -0.00285578 / 0.00285576 |
 | c-tag Eigenvar. 4 | -0.000460626 / 0.000460657 | -0.000237968 / 0.000238017 | -0.000556901 / 0.00055695 | -0.00582399 / 0.00582401 | -2.48266e-05 / 2.48483e-05 | -0.000733363 / 0.000733397 | 0.000878482 / -0.000878544 | 0.000435837 / -0.000435828 | 0.000496809 / -0.000496832 | 0.0017546 / -0.00175462 |
 | c-tag Eigenvar. 5 | -0.000328061 / 0.000328011 | -0.000287285 / 0.000287334 | -0.000493717 / 0.000493651 | 0.000765484 / -0.000765523 | -0.000245839 / 0.00024586 | -0.000464988 / 0.000465022 | 0.00264125 / -0.00264122 | 0.00200845 / -0.00200844 | 0.00189292 / -0.00189294 | 0.00306788 / -0.00306789 |
 | c-tag Eigenvar. 6 | -0.000421669 / 0.000421701 | -0.00020098 / 0.000200952 | -0.000401573 / 0.000401622 | 0.000788044 / -0.000788021 | -0.000160996 / 0.000161018 | -0.000304655 / 0.000304608 | 0.000286811 / -0.000286873 | 0.000980886 / -0.000980876 | 0.000595091 / -0.000595114 | -0.000127266 / 0.000127252 |
 | c-tag Eigenvar. 7 | 0.000293853 / -0.000293822 | 0.000170283 / -0.000170234 | 0.000341185 / -0.000341136 | -0.00231085 / 0.00231081 | 0.000470637 / -0.000470615 | 0.000607629 / -0.000607595 | -0.00366411 / 0.00366414 | -0.00216281 / 0.00216282 | -0.00198536 / 0.00198533 | -0.00145611 / 0.0014561 |
 | c-tag Eigenvar. 8 | 7.57919e-06 / -7.5478e-06 | -4.17515e-06 / 4.14707e-06 | 1.107e-05 / -1.10216e-05 | -0.000781389 / 0.00078135 | 0.000121994 / -0.000122065 | 8.88444e-05 / -8.88911e-05 | -0.00145567 / 0.00145561 | -0.000190616 / 0.000190626 | -0.000418824 / 0.000418801 | -0.000920741 / 0.000920727 |
 | c-tag Eigenvar. 9 | -2.4464e-05 / 2.44141e-05 | 6.30468e-06 / -6.25571e-06 | -4.85659e-05 / 4.86142e-05 | 0.00137626 / -0.00137624 | 2.40378e-07 / -2.18724e-07 | -0.000184527 / 0.00018456 | 0.000949667 / -0.000949729 | 0.000858612 / -0.000858602 | 0.00140887 / -0.00140889 | 0.00159444 / -0.00159446 |
 | c-tag Eigenvar. 10 | 0.000218786 / -0.000218756 | 0.000239036 / -0.000238988 | 0.000446477 / -0.000446431 | -0.00175286 / 0.0017528 | 0.000236381 / -0.000236359 | 0.00056669 / -0.000566739 | -0.00160225 / 0.00160226 | -0.00184723 / 0.00184721 | -9.21601e-05 / 9.21372e-05 | -0.00121613 / 0.00121611 |
 | c-tag Eigenvar. 11 | 0.000539545 / -0.000539514 | 0.000376412 / -0.00037644 | 0.000649666 / -0.000649732 | -0.00192907 / 0.0019291 | 0.00038203 / -0.0003821 | 0.000995569 / -0.000995535 | -0.000641742 / 0.00064168 | -0.000441343 / 0.000441353 | -0.00102481 / 0.00102478 | -0.000693778 / 0.000693764 |
 | c-tag Eigenvar. 12 | 0.000444473 / -0.000444523 | 0.000297659 / -0.000297687 | 0.000527876 / -0.000527828 | -7.48562e-05 / 7.48173e-05 | 0.000180117 / -0.000180187 | 0.000730577 / -0.000730624 | 0.000402198 / -0.00040226 | -0.000859466 / 0.000859476 | 0.000318632 / -0.000318655 | -0.000245161 / 0.000245146 |
 | c-tag Eigenvar. 13 | 0.000376157 / -0.000376207 | 0.000266528 / -0.000266479 | 0.000483693 / -0.000483759 | 0.00231887 / -0.00231884 | 0.000309859 / -0.000309929 | 0.00075217 / -0.000752217 | 0.000248923 / -0.000248985 | 0.000721984 / -0.000722041 | 0.000265168 / -0.000265191 | 0.000258062 / -0.000258077 |
 | c-tag Eigenvar. 14 | -0.000262348 / 0.000262379 | -9.32537e-05 / 9.32256e-05 | -0.000173904 / 0.000173838 | -0.000187406 / 0.000187367 | -0.000323335 / 0.000323357 | -0.000395376 / 0.000395329 | -0.000987904 / 0.000987938 | -0.00028684 / 0.00028685 | -0.000807377 / 0.000807453 | -0.00143437 / 0.00143435 |
 | c-tag Eigenvar. 15 | -0.000753406 / 0.000753437 | -0.000210767 / 0.000210815 | -0.000512146 / 0.000512194 | -0.00206815 / 0.00206811 | -0.00060201 / 0.000602032 | -0.00128196 / 0.00128199 | -0.00203395 / 0.00203398 | -0.00164441 / 0.00164442 | -0.00128169 / 0.00128167 | -0.00167669 / 0.00167667 |
 | c-tag Eigenvar. 16 | 0.00110087 / -0.00110084 | 0.000364622 / -0.000364573 | 0.000787939 / -0.000788005 | 0.000738587 / -0.000738564 | 0.000978404 / -0.000978382 | 0.00170023 / -0.00170019 | 0.00102812 / -0.00102809 | 0.000325326 / -0.000325383 | 0.00059678 / -0.000596803 | 0.000544081 / -0.000544095 |
 | c-tag Eigenvar. 17 | -0.000901667 / 0.000901698 | -0.000388307 / 0.000388279 | -0.000676517 / 0.000676565 | -0.00116317 / 0.00116319 | -0.000254011 / 0.00025394 | -0.000868075 / 0.000868109 | -0.000817311 / 0.000817249 | -0.000550792 / 0.000550801 | -0.00118321 / 0.00118329 | -0.000957265 / 0.000957251 |
 | c-tag Eigenvar. 18 | 0.000954643 / -0.000954611 | 0.000237092 / -0.00023712 | 0.000449125 / -0.000449076 | 0.000150305 / -0.000150282 | 0.000397915 / -0.000397893 | 0.000989365 / -0.000989331 | 0.000469556 / -0.000469618 | 0.000375897 / -0.000375887 | 0.000164999 / -0.000165022 | 0.00050562 / -0.000505634 |
 | c-tag Eigenvar. 19 | -0.00420862 / 0.00420865 | -0.00160343 / 0.0016034 | -0.00330038 / 0.00330031 | -0.00349423 / 0.00349419 | -0.00191256 / 0.00191259 | -0.00424682 / 0.00424677 | -0.00222684 / 0.00222677 | -0.0017942 / 0.00179421 | -0.00279178 / 0.00279176 | -0.00248071 / 0.0024807 |
 | c-tag Eigenvar. 20 | -0.00155156 / 0.00155159 | -0.00117961 / 0.00117958 | -0.00188629 / 0.00188622 | -0.00170707 / 0.00170703 | -0.00111924 / 0.00111926 | -0.00198533 / 0.00198536 | -0.00167736 / 0.0016773 | -0.00256 / 0.00256001 | -0.0011524 / 0.00115238 | -0.00152923 / 0.00152929 |
