 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron reconstruction eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron identification eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron isolation eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (stat) | 0.000626694 / -0.000626679 | 0.000616511 / -0.000616477 | 0.00062261 / -0.000622578 | 0.000588785 / -0.000588755 | 0.000604995 / -0.000604963 | 0.00061939 / -0.00061939 | 0.000609569 / -0.00060964 | 0.000588663 / -0.000588665 | 0.00060723 / -0.000607237 | 0.000610697 / -0.000610656 |
 | Muon id. low pt (stat) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (syst) | 0.0028469 / -0.00284689 | 0.00294071 / -0.00294068 | 0.00296156 / -0.00296152 | 0.00332971 / -0.00332968 | 0.0033472 / -0.00334716 | 0.00320976 / -0.00320976 | 0.00328748 / -0.00328747 | 0.00284704 / -0.00284705 | 0.00289337 / -0.00289338 | 0.0029993 / -0.00299932 |
 | Muon id. low pt (syst) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon isolation eff. (stat) | 0.000185875 / -0.000185926 | 0.000205195 / -0.000205162 | 0.000212588 / -0.000212665 | 0.000289344 / -0.000289423 | 0.000260676 / -0.000260746 | 0.000244687 / -0.000244687 | 0.000276805 / -0.000276795 | 0.000232137 / -0.000232139 | 0.000223915 / -0.000223923 | 0.000256577 / -0.000256597 |
 | Muon isolation eff. (syst) | 0.00224537 / -0.00224542 | 0.00221466 / -0.00221463 | 0.00220999 / -0.00220996 | 0.00219953 / -0.00219951 | 0.00221693 / -0.002217 | 0.0021208 / -0.0021208 | 0.00221351 / -0.0022135 | 0.00221259 / -0.0022126 | 0.00244553 / -0.00244554 | 0.00233841 / -0.00233837 |
 | Muon TTVA (stat) | 0.000189449 / -0.000189435 | 0.000186248 / -0.000186288 | 0.000186619 / -0.000186587 | 0.000191153 / -0.000191123 | 0.000184687 / -0.000184757 | 0.000188652 / -0.000188652 | 0.000182231 / -0.000182221 | 0.000179696 / -0.000179698 | 0.000186813 / -0.000186738 | 0.00018667 / -0.00018669 |
 | Muon TTVA (syst) | 3.28916e-05 / -3.2877e-05 | 3.15714e-05 / -3.16116e-05 | 3.19019e-05 / -3.19792e-05 | 2.95911e-05 / -2.95616e-05 | 2.92073e-05 / -2.91746e-05 | 3.10272e-05 / -3.1027e-05 | 3.43811e-05 / -3.4371e-05 | 3.30469e-05 / -3.30487e-05 | 3.34379e-05 / -3.34449e-05 | 3.17167e-05 / -3.16761e-05 |
 | Muon trigger eff. (stat) | 0.00164689 / -0.00164687 | 0.00156639 / -0.00156636 | 0.00160066 / -0.00160063 | 0.00137875 / -0.00137872 | 0.00136468 / -0.00136465 | 0.0019666 / -0.0019666 | 0.00142832 / -0.00142839 | 0.00106407 / -0.00106407 | 0.00147955 / -0.00147956 | 0.00127406 / -0.00127408 |
