 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | -nan / -nan | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 | 0.046924 / -0.0470315 |
 | Electron trigger eff. | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Electron reconstruction eff. | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Electron identification eff. | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Electron isolation eff. | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon id. (stat) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon id. (syst) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
