 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10.3553 / -10.3335 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 |
 | Electron trigger eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron reconstruction eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron identification eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron isolation eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (stat) | 0.000613594 / -0.000613599 | 0.000614646 / -0.00061465 | 0.000621453 / -0.000621381 | 0.000616739 / -0.000616722 | 0.000669811 / -0.00066979 | 0.000619656 / -0.000619667 | 0.000618059 / -0.000618025 | 0.000611093 / -0.000611086 | 0.000618201 / -0.000618194 | 0.000614607 / -0.000614624 |
 | Muon id. low pt (stat) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (syst) | 0.00287448 / -0.00287449 | 0.0028729 / -0.0028729 | 0.00289828 / -0.00289832 | 0.00334071 / -0.00334069 | 0.00331788 / -0.00331786 | 0.00302529 / -0.0030253 | 0.00321557 / -0.00321554 | 0.00277748 / -0.00277747 | 0.00285134 / -0.00285134 | 0.00301883 / -0.00301884 |
 | Muon id. low pt (syst) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84409e-08 / -2.84409e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon isolation eff. (stat) | 0.000198076 / -0.000198081 | 0.000205861 / -0.000205799 | 0.000209832 / -0.00020976 | 0.0002757 / -0.000275757 | 0.000237868 / -0.000237846 | 0.000264132 / -0.000264143 | 0.000256603 / -0.00025657 | 0.000205462 / -0.000205454 | 0.000213117 / -0.00021317 | 0.000240764 / -0.000240781 |
 | Muon isolation eff. (syst) | 0.00220842 / -0.00220843 | 0.00221129 / -0.00221129 | 0.00221735 / -0.00221738 | 0.002193 / -0.00219299 | 0.0021846 / -0.00218457 | 0.00213786 / -0.00213787 | 0.00220054 / -0.00220051 | 0.00229447 / -0.00229447 | 0.00225938 / -0.00225937 | 0.0022392 / -0.00223912 |
 | Muon TTVA (stat) | 0.000186939 / -0.000186944 | 0.000186252 / -0.000186256 | 0.000185494 / -0.000185528 | 0.000185016 / -0.000185073 | 0.000184292 / -0.000184271 | 0.000192359 / -0.000192371 | 0.000184676 / -0.000184739 | 0.000179043 / -0.000179035 | 0.000179435 / -0.000179489 | 0.000182238 / -0.000182256 |
 | Muon TTVA (syst) | 3.25771e-05 / -3.25818e-05 | 3.19284e-05 / -3.1932e-05 | 3.2345e-05 / -3.2273e-05 | 3.29943e-05 / -3.29776e-05 | 3.3066e-05 / -3.30448e-05 | 3.24924e-05 / -3.25041e-05 | 3.24797e-05 / -3.24461e-05 | 3.01271e-05 / -3.01194e-05 | 2.88386e-05 / -2.88316e-05 | 3.13965e-05 / -3.14137e-05 |
 | Muon trigger eff. (stat) | 0.00159858 / -0.00159858 | 0.00156869 / -0.0015687 | 0.00155246 / -0.00155239 | 0.00161169 / -0.00161167 | 0.00135467 / -0.00135465 | 0.00201636 / -0.00201638 | 0.00150295 / -0.00150291 | 0.00138015 / -0.00138014 | 0.001302 / -0.001302 | 0.00141205 / -0.00141207 |
 | Muon trigger eff. (syst) | -0.00634831 / 0.0063484 | -0.00625959 / 0.00625959 | -0.0063608 / 0.00636076 | -0.00623764 / 0.00623766 | -0.00648521 / 0.00648523 | -0.00611249 / 0.00611248 | -0.0064368 / 0.00643683 | -0.00638765 / 0.0063876 | -0.00628495 / 0.00628496 | -0.00649025 / 0.00649024 |
 | SF(photon ID) | 0.00651998 / -0.00651997 | 0.00857037 / -0.00857036 | 0.00753793 / -0.00753792 | 0.00814014 / -0.00814013 | 0.0083129 / -0.00831289 | 0.00785742 / -0.0078574 | 0.00728481 / -0.00728479 | 0.00784688 / -0.00784687 | 0.00837876 / -0.00837875 | 0.00787184 / -0.00787183 |
 | SF(photon iso.) | -0.00037061 / -0.00037061 | -0.000938208 / -0.000938208 | -0.000957366 / -0.000957366 | -0.00106604 / -0.00106604 | -0.00117947 / -0.00117947 | -0.00105026 / -0.00105026 | -0.00106286 / -0.00106286 | -0.000382013 / -0.000382013 | -0.00120324 / -0.00120324 | -0.00143173 / -0.00143173 |
 | Pile-up | -0.00358425 / 0.000847866 | 0.0101045 / -0.00629633 | -0.00239734 / 0.00216482 | 0.0063241 / -0.00303157 | -0.0278514 / -0.0154896 | 0.0310915 / -0.0151884 | -0.000675272 / 0.00200697 | 0.0434687 / -0.0274434 | 0.00924214 / -0.0166054 | 0.00690845 / -0.00738739 |
 | JVT | 0.00704038 / -0.00755631 | 0.00685028 / -0.00740148 | 0.00616084 / -0.00692777 | 0.00641391 / -0.00688755 | 0.0059786 / -0.00647929 | -0.00137646 / -0.00454643 | 0.00631844 / -0.00667116 | 0.00649427 / -0.00728374 | 0.0058689 / -0.00641354 | 0.00545888 / -0.00650846 |
 | EGamFake | 9.13324e-05 / -9.13324e-05 | 0.0327032 / -0.0327095 | 0.000467673 / -0.000467674 | 0.0327003 / -0.0327065 | 0.017324 / -0.0173256 | 0.0267139 / -0.026718 | 0 / 0 | 0.000648693 / -0.000648696 | 0.00329341 / -0.00329347 | 0.000133172 / -0.000133172 |
 | JGamFake | 0.000554085 / -0.000554 | 0.193167 / -0.185115 | 0.00179032 / -0.00178944 | 0.173588 / -0.166906 | 0.118205 / -0.114871 | 0.106878 / -0.104113 | 0.000719836 / -0.000719694 | 0.276523 / -0.262002 | 0.159721 / -0.153956 | 0.00893444 / -0.0089127 |
 | PDF Unc. NNPDF | -0.00506184 / 0.00506168 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0243162 / 0.0243126 | 0 / 0 | 0 / 0 | 0.00314907 / -0.00314914 | 0.0273318 / -0.0223883 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00630618 / 0.00630621 | -0.00338352 / 0.00338353 | -0.00695292 / 0.00695304 | -0.00802594 / 0.00802594 | -0.00466696 / 0.004667 | -0.00997819 / 0.00997826 | -0.0050381 / 0.00503806 | -0.0049371 / 0.00493713 | -0.00485243 / 0.00485246 | -0.00635747 / 0.00635749 |
 | c-tag Eigenvar. 2 | 0.00197412 / -0.00197413 | 0.000858975 / -0.000858979 | 0.00192476 / -0.00192479 | 0.00275814 / -0.00275812 | 0.00109256 / -0.00109253 | 0.00265726 / -0.00265718 | 0.00174462 / -0.00174468 | 0.00121532 / -0.00121531 | 0.0014884 / -0.0014884 | 0.00168813 / -0.00168814 |
 | c-tag Eigenvar. 3 | 0.000136248 / -0.000136253 | -0.000143573 / 0.00014357 | -0.000396281 / 0.000396353 | -0.00110029 / 0.00110031 | -0.000305069 / 0.00030509 | -0.000569083 / 0.000569167 | -0.000291862 / 0.000291895 | -0.000501342 / 0.00050135 | -0.000419983 / 0.00041999 | -0.000628744 / 0.000628727 |
 | c-tag Eigenvar. 4 | -0.000688334 / 0.000688329 | -0.000249397 / 0.000249393 | -0.000641149 / 0.000641115 | -0.000865679 / 0.000865622 | -0.000318817 / 0.000318737 | -0.000982063 / 0.000982147 | -0.000532672 / 0.000532706 | -0.000369128 / 0.000369135 | -0.000429009 / 0.000428956 | -0.000503221 / 0.000503204 |
 | c-tag Eigenvar. 5 | -0.000762444 / 0.000762439 | -0.000301688 / 0.000301684 | -0.000657728 / 0.000657694 | -0.000397845 / 0.000397789 | -0.000547576 / 0.000547597 | -0.00119633 / 0.00119642 | -0.000398121 / 0.000398155 | -0.00040909 / 0.000409097 | -0.000373944 / 0.000373951 | -0.000559604 / 0.000559587 |
