 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | 0.00155105 / -0.00155106 | 0.0015896 / -0.00158962 | 0.00161336 / -0.00161335 | 0.00181195 / -0.00181197 | 0.00157101 / -0.001571 | 0.00183087 / -0.00183095 | 0.0014811 / -0.00148109 | 0.00218441 / -0.00218444 | 0.00234625 / -0.00234625 | 0.00180689 / -0.00180688 |
 | Electron reconstruction eff. | 0.00139172 / -0.00139172 | 0.00128264 / -0.00128266 | 0.00127719 / -0.00127718 | 0.00112812 / -0.00112807 | 0.0013638 / -0.00136379 | 0.00127021 / -0.00127019 | 0.00132464 / -0.00132462 | 0.00146188 / -0.00146184 | 0.00150585 / -0.00150585 | 0.00135815 / -0.00135814 |
 | Electron identification eff. | 0.00686458 / -0.00686459 | 0.00712621 / -0.00712623 | 0.00740281 / -0.0074028 | 0.0056325 / -0.00563252 | 0.00677296 / -0.00677295 | 0.00684047 / -0.00684045 | 0.00784391 / -0.0078439 | 0.00990824 / -0.00990827 | 0.00881733 / -0.00881733 | 0.00707734 / -0.00707733 |
 | Electron isolation eff. | 0.00137746 / -0.00137747 | 0.000856141 / -0.000856159 | 0.000897358 / -0.000897349 | 0.000805117 / -0.000805138 | 0.000844176 / -0.000844164 | 0.00100906 / -0.00100904 | 0.000922816 / -0.000922801 | 0.00119337 / -0.00119333 | 0.00141943 / -0.00141942 | 0.000962153 / -0.000962144 |
 | Muon id. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. low pt (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon id. low pt (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon isolation eff. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon isolation eff. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon TTVA (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon TTVA (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon trigger eff. (stat) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon trigger eff. (syst) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | SF(photon ID) | 0.0058839 / -0.00588389 | 0.00680543 / -0.00680542 | 0.00573842 / -0.00573841 | 0.0063584 / -0.0063584 | 0.00608031 / -0.00608031 | 0.00647153 / -0.00647151 | 0.0058959 / -0.00589589 | 0.00572382 / -0.00572382 | 0.00660685 / -0.00660685 | 0.00598671 / -0.0059867 |
 | SF(photon iso.) | 3.79377e-05 / 3.79377e-05 | -0.00054523 / -0.00054523 | 3.99331e-05 / 3.99331e-05 | -0.000468627 / -0.000468627 | 0.000370072 / 0.000370072 | -0.000883429 / -0.000883429 | 0.000313433 / 0.000313433 | 0.00163732 / 0.00163732 | -0.000444685 / -0.000444685 | 0.000314423 / 0.000314423 |
 | Pile-up | -0.0172174 / 0.0132995 | 0.00942767 / -0.00879922 | -0.00832704 / 0.00469148 | 0.145255 / 0.0219326 | 0.130075 / -0.0834998 | -0.0748374 / 0.00522561 | 0.074303 / 0.0223795 | -0.0817806 / 0.0686853 | -0.110125 / 0.959181 | 0.0243755 / -0.0301914 |
 | JVT | 0.00492009 / -0.005139 | 0.00573957 / -0.00598063 | 0.00474151 / -0.00555328 | 0.00611557 / -0.00630505 | 0.00643317 / -0.00660886 | 0.00226216 / -0.00349819 | 0.00276411 / -0.00445635 | 0.00771569 / -0.00771608 | 0.00151155 / -0.0024545 | -0.0062588 / 0.00147417 |
 | EGamFake | 0.000233934 / -0.000233934 | 0.0636226 / -0.0636226 | 0.00074754 / -0.00074754 | 0.0377749 / -0.0377749 | 0.0458506 / -0.0458506 | 0.032045 / -0.032045 | 0 / 0 | 0 / 0 | 0.0879461 / -0.0879461 | 0.00578108 / -0.00578108 |
 | JGamFake | 9.06935e-05 / -9.06934e-05 | 0.100942 / -0.100942 | 0.000506103 / -0.000506103 | 0.198724 / -0.198724 | 0.0508862 / -0.0508862 | 0.0766098 / -0.0766098 | 0 / 0 | 0.30255 / -0.30255 | 0.0325356 / -0.0325356 | 0.0103438 / -0.0103438 |
 | PDF Unc. NNPDF | -0.0050998 / 0.0050998 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0207555 / 0.0207555 | 0 / 0 | 0 / 0 | 0.111767 / -0.111767 | -0.00076561 / 0.00076561 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.0040738 / 0.0040738 | -0.00151918 / 0.00151916 | -0.0038604 / 0.00386041 | 0.0570619 / -0.057062 | -0.00667977 / 0.00667978 | -0.00377813 / 0.00377815 | 0.0304302 / -0.0304302 | 0.0774818 / -0.0774818 | 0.0318378 / -0.0318378 | 0.0239964 / -0.0239964 |
 | c-tag Eigenvar. 2 | 0.00213219 / -0.0021322 | 0.000530502 / -0.00053052 | 0.00125762 / -0.00125761 | -0.000419089 / 0.000419067 | 0.00200649 / -0.00200648 | 0.00118034 / -0.00118032 | -0.00604341 / 0.00604337 | 0.00203419 / -0.00203422 | 0.000250281 / -0.000250277 | -0.00193822 / 0.00193823 |
 | c-tag Eigenvar. 3 | 0.000205365 / -0.00020537 | -5.18509e-06 / 5.16791e-06 | -0.000257872 / 0.000257881 | 0.0105597 / -0.0105596 | -0.00160208 / 0.00160209 | -0.000395936 / 0.000395956 | 0.00101553 / -0.00101551 | -0.016301 / 0.0163009 | 0.00517805 / -0.00517804 | 0.00154919 / -0.00154925 |
 | c-tag Eigenvar. 4 | -0.000747027 / 0.000747021 | -0.000157492 / 0.000157474 | -0.000495747 / 0.000495757 | -0.00237037 / 0.00237035 | -0.000628304 / 0.000628316 | -0.000665903 / 0.000665923 | 0.00283093 / -0.00283092 | -0.0110986 / 0.0110986 | -0.00086061 / 0.000860614 | 2.65469e-05 / -2.6607e-05 |
 | c-tag Eigenvar. 5 | -0.00038365 / 0.000383645 | -0.00010007 / 0.000100053 | -0.000313301 / 0.00031331 | 0.0119708 / -0.0119708 | 3.84132e-05 / -3.84015e-05 | -0.00102986 / 0.00102988 | 0.00467398 / -0.00467396 | -0.00179857 / 0.00179854 | 0.00490903 / -0.00490903 | 0.00362033 / -0.00362032 |
 | c-tag Eigenvar. 6 | -0.000226615 / 0.00022661 | -8.67283e-05 / 8.67111e-05 | -0.000290983 / 0.000290992 | 0.00277119 / -0.00277121 | -9.06672e-05 / 9.06789e-05 | -0.000568253 / 0.00056818 | 0.00373343 / -0.00373341 | 0.000229572 / -0.000229599 | 0.00157443 / -0.00157443 | 0.00170527 / -0.00170526 |
 | c-tag Eigenvar. 7 | 0.000495004 / -0.000495009 | 5.25569e-05 / -5.25741e-05 | 0.000201842 / -0.000201833 | -0.00809586 / 0.00809584 | -0.000482858 / 0.000482803 | 0.000325228 / -0.000325208 | -0.00342625 / 0.00342627 | -0.00122372 / 0.00122376 | 9.8035e-05 / -9.80311e-05 | -0.00199696 / 0.00199697 |
 | c-tag Eigenvar. 8 | 0.000296364 / -0.000296369 | 5.62925e-05 / -5.63097e-05 | -3.53208e-06 / 3.54137e-06 | 0.00461809 / -0.00461804 | 0.000329108 / -0.000329096 | 0.000262379 / -0.000262359 | 0.00190217 / -0.00190215 | -0.000942488 / 0.000942462 | 0.00010644 / -0.000106436 | 0.000903966 / -0.000903957 |
