 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 1.89266 / -1.9329 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 |
 | Electron trigger eff. | 0.0016903 / -0.00169028 | 0.00167085 / -0.00167084 | 0.00172225 / -0.00172224 | 0.00186627 / -0.00186623 | 0.00154326 / -0.00154322 | 0.0018768 / -0.00187677 | 0.00182735 / -0.00182737 | 0.00207366 / -0.0020737 | 0.00212101 / -0.00212107 | 0.00201876 / -0.00201879 |
 | Electron reconstruction eff. | 0.00147611 / -0.00147616 | 0.00135811 / -0.00135809 | 0.00137619 / -0.00137618 | 0.00140012 / -0.00140017 | 0.00141887 / -0.0014189 | 0.00131729 / -0.00131726 | 0.001432 / -0.00143201 | 0.00133349 / -0.00133352 | 0.00151575 / -0.00151574 | 0.00147914 / -0.00147917 |
 | Electron identification eff. | 0.00751237 / -0.00751236 | 0.00785042 / -0.00785041 | 0.00815819 / -0.00815818 | 0.0101015 / -0.0101015 | 0.00806739 / -0.00806742 | 0.00872771 / -0.0087278 | 0.00952538 / -0.00952539 | 0.00920085 / -0.00920089 | 0.0106283 / -0.0106283 | 0.0104615 / -0.0104616 |
 | Electron isolation eff. | 0.00153686 / -0.00153684 | 0.000977839 / -0.000977826 | 0.00100262 / -0.00100262 | 0.00118035 / -0.00118031 | 0.00101197 / -0.00101199 | 0.00113733 / -0.00113731 | 0.00115401 / -0.00115396 | 0.00105414 / -0.00105418 | 0.00117573 / -0.0011758 | 0.00119641 / -0.00119645 |
 | Muon id. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
