 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | 0.0016903 / -0.00169028 | 0.00167085 / -0.00167084 | 0.00172225 / -0.00172224 | 0.00186627 / -0.00186623 | 0.00154326 / -0.00154322 | 0.0018768 / -0.00187677 | 0.00182735 / -0.00182737 | 0.00207366 / -0.0020737 | 0.00212101 / -0.00212107 | 0.00201876 / -0.00201879 |
 | Electron reconstruction eff. | 0.00147611 / -0.00147616 | 0.00135811 / -0.00135809 | 0.00137619 / -0.00137618 | 0.00140012 / -0.00140017 | 0.00141887 / -0.0014189 | 0.00131729 / -0.00131726 | 0.001432 / -0.00143201 | 0.00133349 / -0.00133352 | 0.00151575 / -0.00151574 | 0.00147914 / -0.00147917 |
 | Electron identification eff. | 0.00751237 / -0.00751236 | 0.00785042 / -0.00785041 | 0.00815819 / -0.00815818 | 0.0101015 / -0.0101015 | 0.00806739 / -0.00806742 | 0.00872771 / -0.0087278 | 0.00952538 / -0.00952539 | 0.00920085 / -0.00920089 | 0.0106283 / -0.0106283 | 0.0104615 / -0.0104616 |
 | Electron isolation eff. | 0.00153686 / -0.00153684 | 0.000977839 / -0.000977826 | 0.00100262 / -0.00100262 | 0.00118035 / -0.00118031 | 0.00101197 / -0.00101199 | 0.00113733 / -0.00113731 | 0.00115401 / -0.00115396 | 0.00105414 / -0.00105418 | 0.00117573 / -0.0011758 | 0.00119641 / -0.00119645 |
 | Muon id. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon id. low pt (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon isolation eff. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon isolation eff. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon TTVA (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon TTVA (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon trigger eff. (stat) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon trigger eff. (syst) | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | SF(photon ID) | 0.00641941 / -0.0064194 | 0.00858454 / -0.00858453 | 0.0074142 / -0.00741419 | 0.00823649 / -0.00823648 | 0.00800129 / -0.00800128 | 0.00792047 / -0.00792046 | 0.00718947 / -0.00718946 | 0.00835851 / -0.00835849 | 0.00843827 / -0.00843826 | 0.00782835 / -0.00782833 |
 | SF(photon iso.) | -0.000478304 / -0.000478304 | -0.00103615 / -0.00103615 | -0.00088907 / -0.00088907 | -0.00122754 / -0.00122754 | -0.000352717 / -0.000352717 | -0.00149878 / -0.00149878 | -0.00100667 / -0.00100667 | -0.00063133 / -0.00063133 | -0.00159381 / -0.00159381 | -0.00130362 / -0.00130362 |
 | Pile-up | -0.016815 / -0.00518661 | 0.00240139 / -0.00859954 | -0.00248672 / 0.00711257 | 0.0102783 / 0.010262 | 0.0367509 / -0.0126299 | 0.00600525 / 0.0042199 | -0.00604136 / 0.00095639 | 0.0374757 / -0.0112473 | 0.0198906 / -0.0100644 | -0.00385235 / -0.00666813 |
 | JVT | 0.00757744 / -0.00785383 | 0.00733921 / -0.00786426 | 0.00641174 / -0.0073047 | 0.00640275 / -0.00692881 | 0.00874097 / -0.00895781 | 0.00596307 / -0.00679074 | 0.00687575 / -0.00728732 | 0.0068942 / -0.00733725 | 0.00721992 / -0.00755846 | 0.00575562 / -0.00614148 |
 | EGamFake | 0.000236938 / -0.000236938 | 0.0363929 / -0.0363929 | 0.00050846 / -0.00050846 | 0.0392953 / -0.0392953 | 0.0154221 / -0.0154221 | 0.0282791 / -0.0282791 | 1.64093e-05 / -1.64093e-05 | 0.000963263 / -0.000963264 | 0.0768653 / -0.0768653 | 0.00552212 / -0.00552212 |
 | JGamFake | 0.000616106 / -0.000616106 | 0.183524 / -0.183524 | 0.00189686 / -0.00189686 | 0.162378 / -0.162377 | 0.13096 / -0.13096 | 0.101088 / -0.101088 | 0.000495443 / -0.000495443 | 0.282007 / -0.282007 | 0.0638057 / -0.0638057 | 0.00706386 / -0.00706386 |
 | PDF Unc. NNPDF | -0.00510011 / 0.00510011 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0250867 / 0.0250867 | 0 / 0 | 0 / 0 | 0.486351 / -0.486351 | 0.0132222 / -0.0132222 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00744622 / 0.00744623 | -0.00350499 / 0.003505 | -0.0070705 / 0.0070705 | -0.00696927 / 0.00696922 | -0.00520882 / 0.0052088 | -0.00568234 / 0.00568237 | -0.00560845 / 0.00560843 | -0.00545117 / 0.00545114 | -0.00498525 / 0.00498526 | -0.00401991 / 0.00402 |
