 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 1.89266 / -1.9329 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 | 0.0497688 / -0.049733 |
 | Electron trigger eff. | 0.00160226 / -0.00160231 | 0.00160759 / -0.00160763 | 0.00166154 / -0.00166154 | 0.00187189 / -0.00187184 | 0.00149363 / -0.00149363 | 0.00179388 / -0.00179389 | 0.001855 / -0.00185501 | 0.00245354 / -0.0024535 | 0.00203582 / -0.0020359 | 0.00205368 / -0.00205367 |
 | Electron reconstruction eff. | 0.00143918 / -0.00143914 | 0.00133558 / -0.00133562 | 0.00135213 / -0.00135219 | 0.00146437 / -0.00146439 | 0.00143045 / -0.00143045 | 0.00129067 / -0.00129068 | 0.0014396 / -0.00143961 | 0.0017034 / -0.00170343 | 0.00149544 / -0.00149542 | 0.00153161 / -0.00153167 |
 | Electron identification eff. | 0.0074574 / -0.00745745 | 0.00764214 / -0.00764208 | 0.00794196 / -0.00794195 | 0.0118006 / -0.0118006 | 0.00906832 / -0.00906832 | 0.00853115 / -0.00853117 | 0.0100189 / -0.0100189 | 0.0114436 / -0.0114436 | 0.00979432 / -0.00979431 | 0.0102612 / -0.0102612 |
 | Electron isolation eff. | 0.00144539 / -0.00144543 | 0.000962038 / -0.000962074 | 0.000983899 / -0.000983894 | 0.00147589 / -0.00147591 | 0.00107598 / -0.00107598 | 0.00113863 / -0.00113864 | 0.00120821 / -0.00120811 | 0.00129426 / -0.00129429 | 0.00118375 / -0.00118374 | 0.00119421 / -0.00119427 |
 | Muon id. (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.104e-09 / -4.104e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. low pt (stat) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.104e-09 / -4.104e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.104e-09 / -4.104e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
 | Muon id. low pt (syst) | 1.77016e-08 / 1.77016e-08 | -1.82303e-08 / -1.82303e-08 | -3.27486e-08 / -3.27486e-08 | 2.84631e-08 / 2.84631e-08 | 3.06592e-08 / 3.06592e-08 | -5.69945e-09 / -5.69945e-09 | -4.104e-09 / -4.104e-09 | -1.7187e-08 / -1.7187e-08 | 7.07522e-09 / 7.07522e-09 | 5.90152e-09 / 5.90152e-09 |
