 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10.3553 / -10.3335 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 |
 | Electron trigger eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron reconstruction eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron identification eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron isolation eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (stat) | 0.000628199 / -0.000628185 | 0.000594835 / -0.000594804 | 0.000626749 / -0.000626723 | 0.00118591 / -0.00118593 | 0.00078713 / -0.000787156 | 0.000704909 / -0.000704934 | 0.00062475 / -0.000624783 | 0.000713866 / -0.000713805 | 0.000577542 / -0.000577566 | 0.000566164 / -0.000566209 |
 | Muon id. low pt (stat) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (syst) | 0.00278691 / -0.00278689 | 0.00278605 / -0.00278609 | 0.00298844 / -0.00298841 | 0.00534202 / -0.00534204 | 0.00320041 / -0.00320037 | 0.0027589 / -0.00275884 | 0.00270621 / -0.00270614 | 0.00232289 / -0.00232291 | 0.00212896 / -0.00212891 | 0.00293821 / -0.00293826 |
 | Muon id. low pt (syst) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon isolation eff. (stat) | 0.000184679 / -0.000184731 | 0.000183707 / -0.000183676 | 0.000204963 / -0.000205028 | 0.000147174 / -0.00014719 | 0.000201755 / -0.000201781 | 0.000208241 / -0.000208267 | 0.000201113 / -0.000201146 | 0.000177626 / -0.000177641 | 0.000150286 / -0.00015031 | 0.000195349 / -0.000195279 |
 | Muon isolation eff. (syst) | 0.0022237 / -0.00222369 | 0.00223777 / -0.00223782 | 0.00223986 / -0.00223992 | 0.0021727 / -0.00217266 | 0.00211131 / -0.00211134 | 0.00210779 / -0.00210781 | 0.00210891 / -0.00210894 | 0.00210054 / -0.00210047 | 0.00219671 / -0.00219673 | 0.00233046 / -0.0023305 |
 | Muon TTVA (stat) | 0.000187506 / -0.000187491 | 0.000182288 / -0.000182257 | 0.000186818 / -0.000186883 | 0.000230331 / -0.000230348 | 0.000182008 / -0.000182034 | 0.000188433 / -0.000188459 | 0.0001791 / -0.000179028 | 0.000176397 / -0.000176413 | 0.000162054 / -0.00016201 | 0.00017462 / -0.000174665 |
 | Muon TTVA (syst) | 3.17451e-05 / -3.17304e-05 | 2.78786e-05 / -2.78475e-05 | 3.19485e-05 / -3.20133e-05 | 3.07159e-05 / -3.06712e-05 | 4.39627e-05 / -4.3989e-05 | 2.88867e-05 / -2.89122e-05 | 3.75002e-05 / -3.74273e-05 | 2.24508e-05 / -2.24662e-05 | 2.58712e-05 / -2.58947e-05 | 2.59736e-05 / -2.60184e-05 |
 | Muon trigger eff. (stat) | 0.00168743 / -0.00168741 | 0.00154226 / -0.00154231 | 0.00162864 / -0.00162861 | 0.00181315 / -0.00181317 | 0.00128364 / -0.00128367 | 0.00199242 / -0.00199237 | 0.00149869 / -0.00149873 | 0.000592245 / -0.00059226 | -2.29017e-05 / 2.29462e-05 | 0.00131386 / -0.00131379 |
 | Muon trigger eff. (syst) | -0.00640419 / 0.0064042 | -0.00617293 / 0.00617296 | -0.00631108 / 0.0063111 | -0.00875034 / 0.00875033 | -0.00736372 / 0.00736376 | -0.00650455 / 0.00650452 | -0.00668237 / 0.00668245 | -0.00493869 / 0.00493868 | -0.00513746 / 0.00513743 | -0.00602926 / 0.00602922 |
 | SF(photon ID) | 0.00605504 / -0.00605503 | 0.00702395 / -0.00702395 | 0.00572541 / -0.0057254 | 0.00703182 / -0.00703181 | 0.00670834 / -0.00670834 | 0.00561132 / -0.00561132 | 0.00586631 / -0.0058663 | 0.00660982 / -0.00660979 | 0.00601283 / -0.00601283 | 0.0058858 / -0.0058858 |
 | SF(photon iso.) | -8.42561e-05 / -8.42561e-05 | -0.000595326 / -0.000595326 | -2.50746e-05 / -2.50746e-05 | 7.97801e-05 / 7.97801e-05 | -0.000111555 / -0.000111555 | -4.43768e-05 / -4.43768e-05 | -0.000312213 / -0.000312213 | -0.000859957 / -0.000859957 | 0.00419344 / 0.00419344 | 0.000518873 / 0.000518873 |
 | Pile-up | -0.00556864 / 0.00550242 | 0.0100154 / -0.016076 | 0.00023506 / 0.00326196 | -0.0759127 / -0.0933073 | 0.0217514 / -0.0157334 | 0.00645298 / 0.00201774 | 0.0117099 / 0.00479545 | 0.00112322 / -0.0309802 | 0.00457053 / -0.00224932 | 0.0319064 / -0.0195613 |
 | JVT | 0.0044529 / -0.00466124 | 0.00382504 / -0.00444337 | 0.0034935 / -0.00475143 | 0.00593026 / -0.00603509 | 0.00547345 / -0.00610083 | 0.00377915 / -0.00465315 | 0.00588942 / -0.00609209 | 0.00536681 / -0.00608132 | 0.00406338 / -0.00411487 | 0.00247605 / -0.00336652 |
 | EGamFake | 0.000218974 / -0.000218974 | 0.0632404 / -0.0632664 | 0.000529657 / -0.000529658 | 0.0278176 / -0.027822 | 0.0469875 / -0.0470011 | 0.0309706 / -0.0309762 | 0 / 0 | 0.000285402 / -0.000285403 | 0 / 0 | 0 / 0 |
 | JGamFake | 0.000670414 / -0.000670291 | 0.101605 / -0.0990894 | 0.000700184 / -0.000700049 | 0.215413 / -0.205716 | 0.0877722 / -0.0858625 | 0.0856542 / -0.0838307 | 0 / 0 | 0.290692 / -0.275026 | 0.248797 / -0.236502 | 0 / 0 |
 | PDF Unc. NNPDF | -0.00506176 / 0.0050616 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0218789 / 0.021876 | 0 / 0 | 0 / 0 | 0.0147114 / -0.0147128 | 0.0248863 / -0.0248905 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00449574 / 0.00449577 | 0.000180707 / -0.000180676 | -0.00483252 / 0.00483257 | 0.0371767 / -0.0371731 | -0.00361289 / 0.00361294 | -0.00750009 / 0.00750019 | 0.0436581 / -0.0436527 | 0.009393 / -0.00939288 | 0.0114186 / -0.0114184 | 0.0257814 / -0.02578 |
 | c-tag Eigenvar. 2 | 0.00209009 / -0.00209014 | -0.000146551 / 0.000146582 | 0.00145109 / -0.00145115 | 0.00361417 / -0.00361418 | 0.00068137 / -0.000681336 | 0.00271185 / -0.0027118 | -0.00690335 / 0.00690331 | -0.000793043 / 0.000793028 | -0.000717286 / 0.000717263 | -0.00462594 / 0.00462589 |
 | c-tag Eigenvar. 3 | 8.16909e-05 / -8.16761e-05 | 0.000409212 / -0.000409181 | -0.000561491 / 0.000561517 | 0.00285489 / -0.00285491 | -0.000839249 / 0.000839283 | -0.000554208 / 0.000554183 | 0.00102235 / -0.00102228 | 0.00317985 / -0.00317987 | 0.00215596 / -0.00215598 | 0.00310438 / -0.00310443 |
 | c-tag Eigenvar. 4 | -0.000799225 / 0.000799173 | 4.42733e-05 / -4.42422e-05 | -0.000489817 / 0.000489843 | -0.00361572 / 0.00361576 | -7.05198e-05 / 7.04936e-05 | -0.00102991 / 0.00102988 | 0.00168305 / -0.00168297 | -0.000483077 / 0.000483062 | -0.000545935 / 0.000545911 | -8.7172e-05 / 8.71273e-05 |
 | c-tag Eigenvar. 5 | -0.000499887 / 0.000499902 | -7.20658e-05 / 7.20969e-05 | -0.000357266 / 0.000357202 | 0.00665924 / -0.00665926 | -0.000208383 / 0.000208357 | -0.000372688 / 0.000372662 | 0.00439292 / -0.00439296 | 0.00234961 / -0.00234955 | 0.0022716 / -0.00227163 | 0.00412487 / -0.00412491 |
