 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron reconstruction eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron identification eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Electron isolation eff. | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (stat) | 0.000628199 / -0.000628185 | 0.000594835 / -0.000594804 | 0.000626749 / -0.000626723 | 0.00118591 / -0.00118593 | 0.00078713 / -0.000787156 | 0.000704909 / -0.000704934 | 0.00062475 / -0.000624783 | 0.000713866 / -0.000713805 | 0.000577542 / -0.000577566 | 0.000566164 / -0.000566209 |
 | Muon id. low pt (stat) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon id. (syst) | 0.00278691 / -0.00278689 | 0.00278605 / -0.00278609 | 0.00298844 / -0.00298841 | 0.00534202 / -0.00534204 | 0.00320041 / -0.00320037 | 0.0027589 / -0.00275884 | 0.00270621 / -0.00270614 | 0.00232289 / -0.00232291 | 0.00212896 / -0.00212891 | 0.00293821 / -0.00293826 |
 | Muon id. low pt (syst) | -2.62826e-08 / -2.62826e-08 | -2.38687e-08 / -2.38687e-08 | 1.29659e-08 / 1.29659e-08 | -8.32661e-09 / -8.32661e-09 | -1.3141e-08 / -1.3141e-08 | 2.59316e-08 / 2.59316e-08 | 3.64153e-08 / 3.64153e-08 | 3.06769e-08 / 3.06769e-08 | 2.22372e-08 / 2.22372e-08 | -2.23659e-08 / -2.23659e-08 |
 | Muon isolation eff. (stat) | 0.000184679 / -0.000184731 | 0.000183707 / -0.000183676 | 0.000204963 / -0.000205028 | 0.000147174 / -0.00014719 | 0.000201755 / -0.000201781 | 0.000208241 / -0.000208267 | 0.000201113 / -0.000201146 | 0.000177626 / -0.000177641 | 0.000150286 / -0.00015031 | 0.000195349 / -0.000195279 |
 | Muon isolation eff. (syst) | 0.0022237 / -0.00222369 | 0.00223777 / -0.00223782 | 0.00223986 / -0.00223992 | 0.0021727 / -0.00217266 | 0.00211131 / -0.00211134 | 0.00210779 / -0.00210781 | 0.00210891 / -0.00210894 | 0.00210054 / -0.00210047 | 0.00219671 / -0.00219673 | 0.00233046 / -0.0023305 |
 | Muon TTVA (stat) | 0.000187506 / -0.000187491 | 0.000182288 / -0.000182257 | 0.000186818 / -0.000186883 | 0.000230331 / -0.000230348 | 0.000182008 / -0.000182034 | 0.000188433 / -0.000188459 | 0.0001791 / -0.000179028 | 0.000176397 / -0.000176413 | 0.000162054 / -0.00016201 | 0.00017462 / -0.000174665 |
 | Muon TTVA (syst) | 3.17451e-05 / -3.17304e-05 | 2.78786e-05 / -2.78475e-05 | 3.19485e-05 / -3.20133e-05 | 3.07159e-05 / -3.06712e-05 | 4.39627e-05 / -4.3989e-05 | 2.88867e-05 / -2.89122e-05 | 3.75002e-05 / -3.74273e-05 | 2.24508e-05 / -2.24662e-05 | 2.58712e-05 / -2.58947e-05 | 2.59736e-05 / -2.60184e-05 |
 | Muon trigger eff. (stat) | 0.00168743 / -0.00168741 | 0.00154226 / -0.00154231 | 0.00162864 / -0.00162861 | 0.00181315 / -0.00181317 | 0.00128364 / -0.00128367 | 0.00199242 / -0.00199237 | 0.00149869 / -0.00149873 | 0.000592245 / -0.00059226 | -2.29017e-05 / 2.29462e-05 | 0.00131386 / -0.00131379 |
 | Muon trigger eff. (syst) | -0.00640419 / 0.0064042 | -0.00617293 / 0.00617296 | -0.00631108 / 0.0063111 | -0.00875034 / 0.00875033 | -0.00736372 / 0.00736376 | -0.00650455 / 0.00650452 | -0.00668237 / 0.00668245 | -0.00493869 / 0.00493868 | -0.00513746 / 0.00513743 | -0.00602926 / 0.00602922 |
