 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
 | Electron trigger eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron reconstruction eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron identification eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Electron isolation eff. | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (stat) | 0.000613594 / -0.000613599 | 0.000614646 / -0.00061465 | 0.000621453 / -0.000621381 | 0.000616739 / -0.000616722 | 0.000669811 / -0.00066979 | 0.000619656 / -0.000619667 | 0.000618059 / -0.000618025 | 0.000611093 / -0.000611086 | 0.000618201 / -0.000618194 | 0.000614607 / -0.000614624 |
 | Muon id. low pt (stat) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon id. (syst) | 0.00287448 / -0.00287449 | 0.0028729 / -0.0028729 | 0.00289828 / -0.00289832 | 0.00334071 / -0.00334069 | 0.00331788 / -0.00331786 | 0.00302529 / -0.0030253 | 0.00321557 / -0.00321554 | 0.00277748 / -0.00277747 | 0.00285134 / -0.00285134 | 0.00301883 / -0.00301884 |
 | Muon id. low pt (syst) | -2.35417e-09 / -2.35417e-09 | 3.08597e-08 / 3.08597e-08 | 3.6042e-08 / 3.6042e-08 | -2.84408e-08 / -2.84408e-08 | 1.05992e-08 / 1.05992e-08 | 4.1874e-08 / 4.1874e-08 | -3.11862e-08 / -3.11862e-08 | 3.85141e-09 / 3.85141e-09 | 3.51566e-09 / 3.51566e-09 | 4.01137e-08 / 4.01137e-08 |
 | Muon isolation eff. (stat) | 0.000198076 / -0.000198081 | 0.000205861 / -0.000205799 | 0.000209832 / -0.00020976 | 0.0002757 / -0.000275757 | 0.000237868 / -0.000237846 | 0.000264132 / -0.000264143 | 0.000256603 / -0.00025657 | 0.000205462 / -0.000205454 | 0.000213117 / -0.00021317 | 0.000240764 / -0.000240781 |
 | Muon isolation eff. (syst) | 0.00220842 / -0.00220843 | 0.00221129 / -0.00221129 | 0.00221735 / -0.00221738 | 0.002193 / -0.00219299 | 0.0021846 / -0.00218457 | 0.00213786 / -0.00213787 | 0.00220054 / -0.00220051 | 0.00229447 / -0.00229447 | 0.00225938 / -0.00225937 | 0.0022392 / -0.00223912 |
 | Muon TTVA (stat) | 0.000186939 / -0.000186944 | 0.000186252 / -0.000186256 | 0.000185494 / -0.000185528 | 0.000185016 / -0.000185073 | 0.000184292 / -0.000184271 | 0.000192359 / -0.000192371 | 0.000184676 / -0.000184739 | 0.000179043 / -0.000179035 | 0.000179435 / -0.000179489 | 0.000182238 / -0.000182256 |
 | Muon TTVA (syst) | 3.25771e-05 / -3.25818e-05 | 3.19284e-05 / -3.1932e-05 | 3.2345e-05 / -3.2273e-05 | 3.29943e-05 / -3.29776e-05 | 3.3066e-05 / -3.30448e-05 | 3.24924e-05 / -3.25041e-05 | 3.24797e-05 / -3.24461e-05 | 3.01271e-05 / -3.01194e-05 | 2.88386e-05 / -2.88316e-05 | 3.13965e-05 / -3.14137e-05 |
 | Muon trigger eff. (stat) | 0.00159858 / -0.00159858 | 0.00156869 / -0.0015687 | 0.00155246 / -0.00155239 | 0.00161169 / -0.00161167 | 0.00135467 / -0.00135465 | 0.00201636 / -0.00201638 | 0.00150295 / -0.00150291 | 0.00138015 / -0.00138014 | 0.001302 / -0.001302 | 0.00141205 / -0.00141207 |
