 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10.3553 / -10.3335 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 |
 | Electron trigger eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron reconstruction eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron identification eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Electron isolation eff. | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon id. (stat) | 0.000633723 / -0.000633773 | 0.000613595 / -0.000613546 | 0.000623682 / -0.000623634 | 0.000591888 / -0.000591927 | 0.000602858 / -0.000602837 | 0.000621084 / -0.00062105 | 0.000612211 / -0.000612273 | 0.000586154 / -0.000586145 | 0.00060463 / -0.000604653 | 0.000617344 / -0.000617358 |
 | Muon id. low pt (stat) | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon id. (syst) | 0.00284657 / -0.00284662 | 0.00294574 / -0.00294577 | 0.00295841 / -0.00295836 | 0.00337439 / -0.00337437 | 0.00325454 / -0.00325452 | 0.00320872 / -0.00320877 | 0.00330171 / -0.00330178 | 0.00290656 / -0.00290655 | 0.00288497 / -0.00288499 | 0.00299461 / -0.00299463 |
 | Muon id. low pt (syst) | 1.56957e-08 / 1.56957e-08 | -1.40419e-08 / -1.40419e-08 | -3.30454e-08 / -3.30454e-08 | 1.14986e-08 / 1.14986e-08 | -3.50835e-08 / -3.50835e-08 | -2.33641e-08 / -2.33641e-08 | -3.1049e-08 / -3.1049e-08 | -2.84216e-08 / -2.84216e-08 | 3.81906e-08 / 3.81906e-08 | 2.86723e-08 / 2.86723e-08 |
 | Muon isolation eff. (stat) | 0.000183491 / -0.00018346 | 0.000206192 / -0.000206143 | 0.000214015 / -0.000214081 | 0.000292975 / -0.000292952 | 0.000260276 / -0.000260346 | 0.000245471 / -0.000245437 | 0.000278774 / -0.00027874 | 0.000230431 / -0.000230421 | 0.000222239 / -0.000222262 | 0.000241989 / -0.000242004 |
 | Muon isolation eff. (syst) | 0.00224458 / -0.00224455 | 0.00221739 / -0.00221742 | 0.00220512 / -0.00220507 | 0.0021889 / -0.00218888 | 0.0022301 / -0.00223008 | 0.00213619 / -0.00213623 | 0.00216698 / -0.00216694 | 0.0022221 / -0.00222215 | 0.00251271 / -0.00251264 | 0.00237701 / -0.00237702 |
 | Muon TTVA (stat) | 0.000190242 / -0.000190292 | 0.000185926 / -0.000185954 | 0.0001862 / -0.000186152 | 0.000191767 / -0.000191806 | 0.000183881 / -0.00018386 | 0.000188267 / -0.000188233 | 0.000181183 / -0.000181245 | 0.000178332 / -0.000178389 | 0.000189247 / -0.00018927 | 0.000186522 / -0.000186536 |
 | Muon TTVA (syst) | 3.36041e-05 / -3.35727e-05 | 3.12713e-05 / -3.12994e-05 | 3.21314e-05 / -3.2083e-05 | 2.82109e-05 / -2.81879e-05 | 2.94393e-05 / -2.94176e-05 | 2.99483e-05 / -2.99145e-05 | 3.4413e-05 / -3.43794e-05 | 3.31981e-05 / -3.31885e-05 | 3.40241e-05 / -3.40471e-05 | 3.1673e-05 / -3.16874e-05 |
 | Muon trigger eff. (stat) | 0.00168513 / -0.0016851 | 0.0015359 / -0.00153593 | 0.00157522 / -0.00157518 | 0.00134899 / -0.00134897 | 0.00135817 / -0.00135815 | 0.00194193 / -0.00194198 | 0.00141102 / -0.00141109 | 0.00102607 / -0.00102613 | 0.00151033 / -0.00151025 | 0.00122648 / -0.00122649 |
 | Muon trigger eff. (syst) | -0.00637129 / 0.00637132 | -0.00626063 / 0.00626061 | -0.00631354 / 0.00631347 | -0.00596102 / 0.00596104 | -0.00628304 / 0.00628306 | -0.00596512 / 0.00596515 | -0.0065111 / 0.00651113 | -0.00665212 / 0.00665213 | -0.00619822 / 0.0061983 | -0.00667663 / 0.00667662 |
 | SF(photon ID) | 0.0067224 / -0.00672238 | 0.00856442 / -0.0085644 | 0.00741586 / -0.00741585 | 0.00752111 / -0.0075211 | 0.00789702 / -0.007897 | 0.00800078 / -0.00800076 | 0.00714038 / -0.00714036 | 0.00827364 / -0.00827363 | 0.00829543 / -0.00829541 | 0.00783662 / -0.00783661 |
 | SF(photon iso.) | -0.000518405 / -0.000518405 | -0.00105184 / -0.00105184 | -0.000869472 / -0.000869472 | -0.000405726 / -0.000405726 | -0.00100396 / -0.00100396 | -0.000791537 / -0.000791537 | -0.00134424 / -0.00134424 | -3.61484e-05 / -3.61484e-05 | -0.00136655 / -0.00136655 | -0.00161997 / -0.00161997 |
 | Pile-up | -0.0101018 / 0.000868467 | 0.000798522 / -0.000832191 | -0.00336966 / 0.00174186 | 0.0440549 / -0.0183115 | 0.00417812 / -0.0132535 | 0.0084476 / 0.0128568 | -0.00489995 / -0.00698111 | -0.0279358 / -0.0165962 | -0.00860451 / -0.0089519 | -0.0152404 / -0.0029714 |
 | JVT | 0.00998873 / -0.0101602 | 0.00936952 / -0.0098481 | 0.00887772 / -0.0092907 | 0.00934642 / -0.00961229 | 0.00884458 / -0.00919173 | 0.00927328 / -0.00855223 | 0.00863007 / -0.00880159 | 0.00987172 / -0.0101617 | 0.00861647 / -0.00907317 | 0.00959917 / -0.0099575 |
 | EGamFake | 0.000251524 / -0.000251524 | 0.0302803 / -0.0302856 | 0.000468347 / -0.000468348 | 0.0244844 / -0.0244878 | 0.0151615 / -0.0151627 | 0.0230938 / -0.0230967 | 0 / 0 | 0.000582441 / -0.000582443 | 0.00247222 / -0.00247225 | 0 / 0 |
 | JGamFake | 0.00104721 / -0.0010469 | 0.200123 / -0.191566 | 0.00141467 / -0.00141412 | 0.195383 / -0.187171 | 0.0979022 / -0.0955558 | 0.105132 / -0.10245 | 3.58952e-05 / -3.58949e-05 | 0.282348 / -0.267356 | 0.150833 / -0.145631 | 0.00317691 / -0.00317414 |
 | PDF Unc. NNPDF | -0.00506199 / 0.00506182 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0247554 / 0.0247516 | 0 / 0 | 0 / 0 | 0.000763975 / -0.000763979 | 0.194002 / -0.0927863 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00213648 / 0.00213651 | -0.002927 / 0.00292699 | -0.00533672 / 0.00533679 | 0.0255146 / -0.0255132 | -0.00164146 / 0.00164148 | -0.00590299 / 0.00590298 | 0.0197033 / -0.0197026 | 0.0183264 / -0.0183257 | 0.0110601 / -0.0110599 | 0.0168662 / -0.0168657 |
 | c-tag Eigenvar. 2 | 0.000587854 / -0.000587822 | 0.000692965 / -0.000692993 | 0.00150735 / -0.0015073 | -0.00285172 / 0.00285174 | 0.000610571 / -0.00061055 | 0.00237056 / -0.00237053 | -0.00501603 / 0.00501607 | -0.002954 / 0.00295401 | -0.0030746 / 0.00307457 | -0.00456113 / 0.00456111 |
 | c-tag Eigenvar. 3 | 0.00042105 / -0.0004211 | -0.000142108 / 0.00014208 | -0.000259867 / 0.000259915 | -0.00382704 / 0.003827 | 0.000695505 / -0.000695483 | -1.1867e-05 / 1.19009e-05 | 0.000584273 / -0.000584335 | 0.0013073 / -0.00130729 | -0.000147532 / 0.000147609 | -0.00285578 / 0.00285576 |
 | c-tag Eigenvar. 4 | -0.000460626 / 0.000460657 | -0.000237968 / 0.000238017 | -0.000556901 / 0.00055695 | -0.00582399 / 0.00582401 | -2.48266e-05 / 2.48483e-05 | -0.000733363 / 0.000733397 | 0.000878482 / -0.000878544 | 0.000435837 / -0.000435828 | 0.000496809 / -0.000496832 | 0.0017546 / -0.00175462 |
 | c-tag Eigenvar. 5 | -0.000328061 / 0.000328011 | -0.000287285 / 0.000287334 | -0.000493717 / 0.000493651 | 0.000765484 / -0.000765523 | -0.000245839 / 0.00024586 | -0.000464988 / 0.000465022 | 0.00264125 / -0.00264122 | 0.00200845 / -0.00200844 | 0.00189292 / -0.00189294 | 0.00306788 / -0.00306789 |
