 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 10.3553 / -10.3335 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 | 0.0483687 / -0.0484356 |
 | Electron trigger eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron reconstruction eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron identification eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Electron isolation eff. | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (stat) | 0.000626694 / -0.000626679 | 0.000616511 / -0.000616477 | 0.00062261 / -0.000622578 | 0.000588785 / -0.000588755 | 0.000604995 / -0.000604963 | 0.00061939 / -0.00061939 | 0.000609569 / -0.00060964 | 0.000588663 / -0.000588665 | 0.00060723 / -0.000607237 | 0.000610697 / -0.000610656 |
 | Muon id. low pt (stat) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon id. (syst) | 0.0028469 / -0.00284689 | 0.00294071 / -0.00294068 | 0.00296156 / -0.00296152 | 0.00332971 / -0.00332968 | 0.0033472 / -0.00334716 | 0.00320976 / -0.00320976 | 0.00328748 / -0.00328747 | 0.00284704 / -0.00284705 | 0.00289337 / -0.00289338 | 0.0029993 / -0.00299932 |
 | Muon id. low pt (syst) | 7.27472e-09 / 7.27472e-09 | 1.67593e-08 / 1.67593e-08 | 1.61121e-08 / 1.61121e-08 | -3.93087e-08 / -3.93087e-08 | -3.51497e-08 / -3.51497e-08 | -3.70669e-08 / -3.70669e-08 | 5.05635e-09 / 5.05635e-09 | -9.3593e-10 / -9.3593e-10 | -3.53021e-09 / -3.53021e-09 | -9.82957e-09 / -9.82957e-09 |
 | Muon isolation eff. (stat) | 0.000185875 / -0.000185926 | 0.000205195 / -0.000205162 | 0.000212588 / -0.000212665 | 0.000289344 / -0.000289423 | 0.000260676 / -0.000260746 | 0.000244687 / -0.000244687 | 0.000276805 / -0.000276795 | 0.000232137 / -0.000232139 | 0.000223915 / -0.000223923 | 0.000256577 / -0.000256597 |
 | Muon isolation eff. (syst) | 0.00224537 / -0.00224542 | 0.00221466 / -0.00221463 | 0.00220999 / -0.00220996 | 0.00219953 / -0.00219951 | 0.00221693 / -0.002217 | 0.0021208 / -0.0021208 | 0.00221351 / -0.0022135 | 0.00221259 / -0.0022126 | 0.00244553 / -0.00244554 | 0.00233841 / -0.00233837 |
 | Muon TTVA (stat) | 0.000189449 / -0.000189435 | 0.000186248 / -0.000186288 | 0.000186619 / -0.000186587 | 0.000191153 / -0.000191123 | 0.000184687 / -0.000184757 | 0.000188652 / -0.000188652 | 0.000182231 / -0.000182221 | 0.000179696 / -0.000179698 | 0.000186813 / -0.000186738 | 0.00018667 / -0.00018669 |
 | Muon TTVA (syst) | 3.28916e-05 / -3.2877e-05 | 3.15714e-05 / -3.16116e-05 | 3.19019e-05 / -3.19792e-05 | 2.95911e-05 / -2.95616e-05 | 2.92073e-05 / -2.91746e-05 | 3.10272e-05 / -3.1027e-05 | 3.43811e-05 / -3.4371e-05 | 3.30469e-05 / -3.30487e-05 | 3.34379e-05 / -3.34449e-05 | 3.17167e-05 / -3.16761e-05 |
 | Muon trigger eff. (stat) | 0.00164689 / -0.00164687 | 0.00156639 / -0.00156636 | 0.00160066 / -0.00160063 | 0.00137875 / -0.00137872 | 0.00136468 / -0.00136465 | 0.0019666 / -0.0019666 | 0.00142832 / -0.00142839 | 0.00106407 / -0.00106407 | 0.00147955 / -0.00147956 | 0.00127406 / -0.00127408 |
 | Muon trigger eff. (syst) | -0.00629779 / 0.00629781 | -0.00624175 / 0.00624178 | -0.00631709 / 0.00631712 | -0.00608964 / 0.00608967 | -0.00625864 / 0.00625867 | -0.00602784 / 0.00602784 | -0.00650627 / 0.0065062 | -0.00681347 / 0.00681347 | -0.00617673 / 0.00617673 | -0.00653068 / 0.00653066 |
 | SF(photon ID) | 0.00670257 / -0.00670256 | 0.00857348 / -0.00857346 | 0.00739074 / -0.00739072 | 0.00780654 / -0.00780654 | 0.00783105 / -0.00783104 | 0.00797238 / -0.00797236 | 0.00712843 / -0.00712841 | 0.00821847 / -0.00821846 | 0.00828784 / -0.00828782 | 0.00780205 / -0.00780204 |
 | SF(photon iso.) | -0.000529537 / -0.000529537 | -0.00102265 / -0.00102265 | -0.000845202 / -0.000845202 | -0.000732886 / -0.000732886 | -0.00106261 / -0.00106261 | -0.000902218 / -0.000902218 | -0.00130775 / -0.00130775 | -3.41964e-05 / -3.41964e-05 | -0.00126666 / -0.00126666 | -0.00154375 / -0.00154375 |
 | Pile-up | -0.00560398 / -0.000572136 | 0.00305563 / -0.00272843 | -0.00313788 / 0.00309256 | 0.0443449 / -0.0172079 | -0.00122621 / -0.00682682 | 0.00573278 / 0.0038927 | -0.00390799 / -0.00654185 | -0.0356559 / -0.013859 | -0.00664041 / -0.00636845 | -0.00956943 / -0.00208295 |
 | JVT | 0.00991863 / -0.0100905 | 0.00932916 / -0.00981137 | 0.0088892 / -0.00936277 | 0.00946551 / -0.00971604 | 0.00842901 / -0.00875817 | 0.00841118 / -0.00854106 | 0.00850278 / -0.00871267 | 0.0102026 / -0.0104479 | 0.00853495 / -0.00898895 | 0.00973861 / -0.0100478 |
 | EGamFake | 0.000259652 / -0.000259653 | 0.0309084 / -0.0309139 | 0.000455673 / -0.000455674 | 0.0247663 / -0.0247698 | 0.0141912 / -0.0141923 | 0.0227914 / -0.0227943 | 0 / 0 | 0.000508808 / -0.000508809 | 0.00255784 / -0.00255787 | 0 / 0 |
 | JGamFake | 0.000838406 / -0.000838213 | 0.198368 / -0.189939 | 0.00139 / -0.00138947 | 0.193072 / -0.185027 | 0.0932138 / -0.0910744 | 0.101227 / -0.0987286 | 3.05611e-05 / -3.05609e-05 | 0.282938 / -0.267899 | 0.149683 / -0.144552 | 0.00267069 / -0.00266873 |
 | PDF Unc. NNPDF | -0.00506244 / 0.00506228 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0245194 / 0.0245157 | 0 / 0 | 0 / 0 | 0.0013882 / -0.00138821 | 0.16057 / -0.160802 | 0 / 0 |
 | c-tag Eigenvar. 1 | 0.00570133 / -0.00570133 | 0.000291218 / -0.000291185 | -0.000197429 / 0.00019746 | 0.026652 / -0.0266504 | 0.00272977 / -0.00272973 | -0.000367872 / 0.000367872 | 0.0205228 / -0.020522 | 0.0183323 / -0.0183317 | 0.0112801 / -0.0112798 | 0.021085 / -0.0210841 |
 | c-tag Eigenvar. 2 | -0.00180337 / 0.00180338 | -4.23755e-05 / 4.23353e-05 | 0.00019396 / -0.000193928 | -0.0065608 / 0.00656073 | -0.00017271 / 0.000172742 | 0.000308376 / -0.000308376 | -0.0052768 / 0.00527681 | -0.00264784 / 0.00264784 | -0.00298963 / 0.00298962 | -0.0046111 / 0.00461108 |
 | c-tag Eigenvar. 3 | 0.000289857 / -0.000289843 | 4.698e-05 / -4.69465e-05 | -3.0993e-05 / 3.10253e-05 | -0.00263174 / 0.00263177 | 0.000676969 / -0.000677039 | 0.00034977 / -0.00034977 | -1.00145e-05 / 1.00246e-05 | 0.00167913 / -0.00167913 | -0.000182345 / 0.000182337 | -0.00266154 / 0.00266152 |
 | c-tag Eigenvar. 4 | 0.000508804 / -0.00050879 | -5.40242e-05 / 5.3984e-05 | -0.000182313 / 0.000182236 | -0.00660525 / 0.00660528 | 0.000339033 / -0.000339103 | -0.000109431 / 0.000109431 | 0.000494873 / -0.000494863 | 0.000282397 / -0.000282399 | 0.000338723 / -0.00033873 | 0.00105427 / -0.00105428 |
 | c-tag Eigenvar. 5 | 0.000578537 / -0.000578523 | 8.4875e-05 / -8.49152e-05 | 0.000117369 / -0.000117446 | 0.00239505 / -0.00239502 | 0.000413993 / -0.000414063 | 0.000234877 / -0.000234877 | 0.00256118 / -0.00256117 | 0.002397 / -0.002397 | 0.00180591 / -0.00180592 | 0.00241851 / -0.00241853 |
